resolution,matchedJaccard,nClusters
0.2,3.8265086038414946,10
0.4,4.946638697238897,14
0.6,5.372239850999875,17
0.8,5.5142977925165155,18
1.0,5.151375697850931,21
1.2,4.91078382112182,28
1.4,5.157695664858228,30
1.6,5.036347411587029,35
1.8,5.277296028333477,38
2.0,5.75482347097744,40
