nNeighbors,weakPriorAgreement,eligibleCoverage
5,0.24118855871999678,0.94397
10,0.2371922680152231,0.97536
15,0.23454190652547613,0.98487
30,0.22858245250901843,0.9941
50,0.2239013227855703,0.99609
100,0.21711886008369527,0.99651
