position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
383/801,SRX13198728,success,designated_clustering_2/SRX13198728_clustered.h5ad,2026-05-19 17:52:36,,0.6,15,50.19339919090271,16,16,0,27,21,228,11740,6.605053988903006
393/801,SRX13325103,success,designated_clustering_2/SRX13325103_clustered.h5ad,2026-05-19 17:53:21,,1.9,15,55.42348623275757,35,24,11,26,21,160,6664,7.279936744131457
395/801,SRX11438987,success,designated_clustering_2/SRX11438987_clustered.h5ad,2026-05-19 17:53:25,,0.6,25,50.222866237163544,10,9,1,23,7,373,1108,3.914304398062748
394/801,SRX11987904,success,designated_clustering_2/SRX11987904_clustered.h5ad,2026-05-19 17:53:28,,1.8,42,50.16448721289635,28,19,9,22,12,91,2446,4.333310904344872
396/801,SRX10984882,success,designated_clustering_2/SRX10984882_clustered.h5ad,2026-05-19 17:54:02,,1.8,50,39.47941213846207,18,9,9,9,6,10,2167,0.7090571473294314
397/801,SRX11987903,success,designated_clustering_2/SRX11987903_clustered.h5ad,2026-05-19 17:54:29,,0.8,50,49.55469146370888,10,8,2,17,11,32,2368,4.184740689833325
398/801,SRX11438992,success,designated_clustering_2/SRX11438992_clustered.h5ad,2026-05-19 17:54:34,,1.9,15,51.27230882644653,23,19,4,23,13,766,1888,5.919883960700142
385/801,SRX13198724,success,designated_clustering_2/SRX13198724_clustered.h5ad,2026-05-19 17:54:57,,0.8,33,50.070661306381226,19,19,0,27,19,314,17767,4.748520895122454
389/801,SRX13198732,success,designated_clustering_2/SRX13198732_clustered.h5ad,2026-05-19 17:55:02,,1.8,15,50.83796977996826,29,22,7,27,22,208,15556,5.2718547594606875
386/801,SRX13198727,success,designated_clustering_2/SRX13198727_clustered.h5ad,2026-05-19 17:55:04,,0.7,16,50.32082046382129,19,14,5,27,23,188,16156,7.673164775476501
387/801,SRX13198726,success,designated_clustering_2/SRX13198726_clustered.h5ad,2026-05-19 17:55:11,,1.4,19,50.47420263290405,25,22,3,28,19,440,17088,6.618740567588841
405/801,SRX14589432,success,designated_clustering_2/SRX14589432_clustered.h5ad,2026-05-19 17:55:33,,0.8,50,43.434906005859375,9,4,5,14,6,47,1329,1.3824512916967309
400/801,SRX14098302,success,designated_clustering_2/SRX14098302_clustered.h5ad,2026-05-19 17:55:39,,1.3,26,50.08595883846283,21,19,2,26,15,251,5704,5.450960361433182
403/801,SRX11987896,success,designated_clustering_2/SRX11987896_clustered.h5ad,2026-05-19 17:55:42,,0.9,44,50.23021548986435,16,11,5,24,12,184,2357,5.312436734979798
406/801,SRX11987900,success,designated_clustering_2/SRX11987900_clustered.h5ad,2026-05-19 17:55:42,,0.5,50,36.30034178495407,8,6,2,15,8,32,1697,3.35581383473094
407/801,SRX14495312,success,designated_clustering_2/SRX14495312_clustered.h5ad,2026-05-19 17:56:22,,1.9,39,50.2766877412796,22,16,6,15,8,32,2936,2.1291536413993715
349/801,SRX25318272,success,designated_clustering_2/SRX25318272_clustered.h5ad,2026-05-19 17:56:23,,0.1,42,50.131695717573166,3,3,0,8,5,1489,30232,1.9291950601797883
390/801,SRX13198729,success,designated_clustering_2/SRX13198729_clustered.h5ad,2026-05-19 17:56:32,,1.9,32,50.04263296723366,51,38,13,26,24,256,19848,4.743363055408108
410/801,SRX14767855,success,designated_clustering_2/SRX14767855_clustered.h5ad,2026-05-19 17:57:34,,0.3,16,50.06112626288086,7,6,1,10,5,778,4443,2.314047166930229
409/801,SRX14589431,success,designated_clustering_2/SRX14589431_clustered.h5ad,2026-05-19 17:57:58,,0.3,38,50.071220099925995,9,7,2,17,8,243,5465,1.581997209115737
411/801,SRX14767854,success,designated_clustering_2/SRX14767854_clustered.h5ad,2026-05-19 17:58:03,,0.1,15,55.66163659095764,4,4,0,7,3,2840,3196,1.9142027427012254
408/801,SRX14589433,success,designated_clustering_2/SRX14589433_clustered.h5ad,2026-05-19 17:58:11,,0.4,40,50.16561523079872,11,5,6,15,9,185,6791,1.85543981676187
404/801,SRX14098306,success,designated_clustering_2/SRX14098306_clustered.h5ad,2026-05-19 17:58:16,,1.7,17,50.014351308345795,31,20,11,25,23,574,9987,10.326639114179018
416/801,SRX11987915,success,designated_clustering_2/SRX11987915_clustered.h5ad,2026-05-19 17:59:14,,0.5,50,47.058577835559845,11,11,0,22,12,108,2841,5.721078428238249
419/801,SRX15390221,failed,,2026-05-19 17:59:16,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
