position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
511/801,SRX27291620,success,designated_clustering_2/SRX27291620_clustered.h5ad,2026-05-19 18:38:47,,0.9,50,37.59080022573471,12,7,5,21,10,52,5401,1.616419086829183
509/801,SRX27291598,success,designated_clustering_2/SRX27291598_clustered.h5ad,2026-05-19 18:39:12,,1.0,50,34.30321514606476,9,2,7,18,11,26,6819,1.2106332355451939
506/801,SRX27291600,success,designated_clustering_2/SRX27291600_clustered.h5ad,2026-05-19 18:39:16,,1.0,50,38.55666667222977,19,16,3,21,13,62,13788,2.8516759727390433
508/801,SRX27291607,success,designated_clustering_2/SRX27291607_clustered.h5ad,2026-05-19 18:39:55,,1.0,16,50.10100812651217,22,15,7,24,15,80,9650,6.064321835503518
510/801,SRX27291590,success,designated_clustering_2/SRX27291590_clustered.h5ad,2026-05-19 18:39:58,,1.2,50,35.11781543493271,13,3,10,18,10,29,8083,1.8329992206117192
440/801,ERX11662365,success,designated_clustering_2/ERX11662365_clustered.h5ad,2026-05-19 18:40:01,,0.1,26,50.066351518034935,5,5,0,1,1,317,38434,0.5347088515376995
513/801,SRX27291616,success,designated_clustering_2/SRX27291616_clustered.h5ad,2026-05-19 18:41:33,,0.7,50,36.365702748298645,15,7,8,21,12,67,10089,2.6886566626792625
507/801,SRX27291570,success,designated_clustering_2/SRX27291570_clustered.h5ad,2026-05-19 18:41:51,,1.7,50,34.64786112308502,23,20,3,25,16,56,17584,2.5379558076259436
520/801,SRX27208867,failed,,2026-05-19 18:41:53,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
515/801,SRX27291603,success,designated_clustering_2/SRX27291603_clustered.h5ad,2026-05-19 18:42:16,,0.7,50,33.07282030582428,12,4,8,24,14,71,9127,2.3990760628269356
522/801,SRX27208873,failed,,2026-05-19 18:42:17,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
523/801,SRX27208878,failed,,2026-05-19 18:42:20,InsufficientCellsError: 65 cells remaining after filtering (threshold: 500),,,,,,,,,,,
521/801,SRX27208869,success,designated_clustering_2/SRX27208869_clustered.h5ad,2026-05-19 18:42:22,,0.1,50,38.21841776371002,3,1,2,8,3,4136,854,0.5822167089374101
524/801,SRX27208876,failed,,2026-05-19 18:42:23,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
525/801,SRX27208872,failed,,2026-05-19 18:42:24,InsufficientCellsError: 354 cells remaining after filtering (threshold: 500),,,,,,,,,,,
442/801,ERX11662383,success,designated_clustering_2/ERX11662383_clustered.h5ad,2026-05-19 18:42:34,,0.1,50,36.917948722839355,5,4,1,1,1,57,43661,0.6238061427818863
514/801,SRX27291609,success,designated_clustering_2/SRX27291609_clustered.h5ad,2026-05-19 18:43:09,,1.6,50,37.642356753349304,26,24,2,24,14,64,9058,3.201733012287517
502/801,SRX27291571,success,designated_clustering_2/SRX27291571_clustered.h5ad,2026-05-19 18:43:21,,1.6,50,38.16991075873375,21,11,10,24,15,96,20413,3.160300366189231
516/801,SRX27291614,success,designated_clustering_2/SRX27291614_clustered.h5ad,2026-05-19 18:43:52,,0.7,50,33.87165293097496,13,7,6,21,15,46,10796,2.1039027818243783
528/801,SRX10327364,success,designated_clustering_2/SRX10327364_clustered.h5ad,2026-05-19 18:43:55,,0.2,17,50.189893087372184,5,4,1,9,5,326,2870,1.7475074276224785
527/801,SRX27208868,success,designated_clustering_2/SRX27208868_clustered.h5ad,2026-05-19 18:44:30,,0.5,50,44.93701905012131,11,7,4,21,8,306,6697,1.6517893299829227
531/801,SRX27291560,success,designated_clustering_2/SRX27291560_clustered.h5ad,2026-05-19 18:46:58,,1.2,50,37.11702525615692,20,15,5,27,18,33,6982,4.464071910447335
530/801,SRX27291559,success,designated_clustering_2/SRX27291559_clustered.h5ad,2026-05-19 18:47:34,,1.9,50,37.171345949172974,22,11,11,23,12,68,11386,3.514509301558943
519/801,SRX27291595,success,designated_clustering_2/SRX27291595_clustered.h5ad,2026-05-19 18:47:48,,0.7,50,37.72391751408577,16,10,6,26,18,51,14003,4.450500004422564
532/801,SRX27291565,success,designated_clustering_2/SRX27291565_clustered.h5ad,2026-05-19 18:48:00,,0.3,50,33.71865749359131,7,7,0,20,11,66,10147,2.3759911404565064
517/801,SRX27291613,success,designated_clustering_2/SRX27291613_clustered.h5ad,2026-05-19 18:48:14,,1.6,50,36.417993903160095,25,14,11,25,20,40,18006,4.142110906631782
533/801,SRX27291568,success,designated_clustering_2/SRX27291568_clustered.h5ad,2026-05-19 18:48:16,,1.8,50,41.62842929363251,25,11,14,23,13,97,7668,3.5976032821556014
529/801,SRX27291551,success,designated_clustering_2/SRX27291551_clustered.h5ad,2026-05-19 18:48:57,,1.6,50,36.88366487622261,22,10,12,24,17,24,13899,5.274652153095873
534/801,SRX27291569,success,designated_clustering_2/SRX27291569_clustered.h5ad,2026-05-19 18:49:19,,0.9,50,36.255015432834625,14,7,7,24,11,103,6140,2.5513410851763614
539/801,SRX27291580,success,designated_clustering_2/SRX27291580_clustered.h5ad,2026-05-19 18:49:28,,1.0,40,50.223227590322495,12,7,5,17,9,1030,2355,2.811938530336588
537/801,SRX27291572,success,designated_clustering_2/SRX27291572_clustered.h5ad,2026-05-19 18:49:52,,0.3,35,50.07235407829285,9,8,1,22,11,126,4577,4.631824400165561
541/801,SRX27291578,success,designated_clustering_2/SRX27291578_clustered.h5ad,2026-05-19 18:50:46,,1.0,50,50.03158822655678,15,10,5,23,11,500,3102,4.88455003739322
542/801,SRX27291584,success,designated_clustering_2/SRX27291584_clustered.h5ad,2026-05-19 18:51:05,,1.1,50,48.13104122877121,15,8,7,24,11,1166,3228,3.462148597223595
535/801,SRX27291562,success,designated_clustering_2/SRX27291562_clustered.h5ad,2026-05-19 18:51:16,,1.4,50,40.654341876506805,16,5,11,21,10,64,8557,1.838928651358588
540/801,SRX27291567,success,designated_clustering_2/SRX27291567_clustered.h5ad,2026-05-19 18:51:27,,0.8,50,40.10857790708542,9,3,6,17,10,24,6388,1.6997334779030142
538/801,SRX27291564,success,designated_clustering_2/SRX27291564_clustered.h5ad,2026-05-19 18:51:31,,1.1,50,43.91276240348816,14,12,2,19,11,25,7597,2.532222314706809
536/801,SRX27291574,success,designated_clustering_2/SRX27291574_clustered.h5ad,2026-05-19 18:56:41,,0.5,49,50.217119604349136,14,11,3,27,15,350,10401,5.789338689671599
546/801,SRX27291599,success,designated_clustering_2/SRX27291599_clustered.h5ad,2026-05-19 18:57:35,,0.8,50,31.018274277448654,13,7,6,19,10,65,4195,2.826337576697317
547/801,SRX27291589,success,designated_clustering_2/SRX27291589_clustered.h5ad,2026-05-19 18:57:56,,1.0,50,44.86025869846344,15,10,5,22,10,61,3118,2.9345324375898567
543/801,SRX27291582,success,designated_clustering_2/SRX27291582_clustered.h5ad,2026-05-19 18:58:34,,0.5,49,50.18237978219986,17,14,3,27,13,393,10130,6.651893141498553
518/801,SRX27291587,success,designated_clustering_2/SRX27291587_clustered.h5ad,2026-05-19 18:58:49,,1.2,50,40.32032489776611,30,19,11,27,24,17,24526,4.219288882643454
526/801,SRX27208877,success,designated_clustering_2/SRX27208877_clustered.h5ad,2026-05-19 18:59:17,,1.9,27,50.06144642829895,27,18,9,18,14,40,21499,2.327359243533414
545/801,SRX27291558,success,designated_clustering_2/SRX27291558_clustered.h5ad,2026-05-19 18:59:22,,1.8,50,34.36226472258568,25,16,9,23,16,27,10526,3.5387770917267196
544/801,SRX27291588,success,designated_clustering_2/SRX27291588_clustered.h5ad,2026-05-19 19:00:08,,0.8,34,50.16739219427109,13,12,1,23,14,236,11716,4.789225972857493
554/801,SRX27358285,success,designated_clustering_2/SRX27358285_clustered.h5ad,2026-05-19 19:00:26,,0.2,50,39.6147221326828,2,1,1,7,4,69,1485,0.7514433919710768
553/801,SRX10327365,success,designated_clustering_2/SRX10327365_clustered.h5ad,2026-05-19 19:00:32,,0.2,15,54.561638832092285,4,3,1,8,5,141,3687,2.26475098507187
550/801,SRX27291623,success,designated_clustering_2/SRX27291623_clustered.h5ad,2026-05-19 19:00:45,,1.8,50,35.91781556606293,25,7,18,24,17,63,7810,3.602705617801187
558/801,SRX23724124,success,designated_clustering_2/SRX23724124_clustered.h5ad,2026-05-19 19:01:24,,1.4,50,46.77083045244217,18,16,2,24,13,323,1630,5.8630988850790215
559/801,SRX23724103,success,designated_clustering_2/SRX23724103_clustered.h5ad,2026-05-19 19:02:08,,1.4,48,50.09821206331253,20,13,7,27,20,116,3067,7.290245141956582
552/801,SRX27291611,success,designated_clustering_2/SRX27291611_clustered.h5ad,2026-05-19 19:02:10,,0.7,50,34.0530201792717,11,5,6,21,10,70,10044,2.2545972479098553
555/801,SRX23724110,success,designated_clustering_2/SRX23724110_clustered.h5ad,2026-05-19 19:03:00,,1.7,50,45.76130360364914,24,18,6,28,24,295,8630,6.706318703366972
549/801,SRX27291621,success,designated_clustering_2/SRX27291621_clustered.h5ad,2026-05-19 19:03:18,,0.5,49,50.298529863357544,7,3,4,24,11,77,14910,1.1323582527343576
560/801,SRX23724088,success,designated_clustering_2/SRX23724088_clustered.h5ad,2026-05-19 19:03:38,,1.6,50,42.64611601829529,30,25,5,27,22,383,4564,4.3741406460675165
556/801,SRX23724101,success,designated_clustering_2/SRX23724101_clustered.h5ad,2026-05-19 19:03:48,,1.8,50,43.00337806344032,25,13,12,27,23,217,8893,6.042711922241182
561/801,SRX23724122,success,designated_clustering_2/SRX23724122_clustered.h5ad,2026-05-19 19:04:01,,1.3,50,48.715703189373016,17,13,4,28,24,101,4549,7.228768277157586
557/801,SRX23724094,success,designated_clustering_2/SRX23724094_clustered.h5ad,2026-05-19 19:04:33,,1.8,50,47.543150931596756,27,19,8,28,25,335,9169,9.415427420795144
567/801,SRX22996340,success,designated_clustering_2/SRX22996340_clustered.h5ad,2026-05-19 19:05:05,,1.6,50,49.77105185389519,21,16,5,26,14,187,2082,6.555692381562978
563/801,SRX23724123,success,designated_clustering_2/SRX23724123_clustered.h5ad,2026-05-19 19:05:32,,1.7,50,42.29721352458,22,20,2,27,22,647,5877,7.070838175687816
562/801,SRX23724100,success,designated_clustering_2/SRX23724100_clustered.h5ad,2026-05-19 19:06:00,,1.7,50,40.786606818437576,19,17,2,27,24,188,10450,5.3794917275693805
548/801,SRX27291624,success,designated_clustering_2/SRX27291624_clustered.h5ad,2026-05-19 19:06:03,,0.9,50,36.67758107185364,21,11,10,24,16,60,19607,2.9435214309054176
568/801,SRX24841619,success,designated_clustering_2/SRX24841619_clustered.h5ad,2026-05-19 19:06:21,,0.2,15,60.24963855743408,8,7,1,17,11,1412,4692,3.7376964123263745
565/801,SRX23724081,success,designated_clustering_2/SRX23724081_clustered.h5ad,2026-05-19 19:07:00,,1.5,50,48.03578853607178,25,21,4,28,25,118,9077,7.624048713040531
572/801,SRX23724090,success,designated_clustering_2/SRX23724090_clustered.h5ad,2026-05-19 19:07:59,,1.9,50,38.22557032108307,25,15,10,27,23,340,3811,6.934916687122592
551/801,SRX27291612,success,designated_clustering_2/SRX27291612_clustered.h5ad,2026-05-19 19:08:36,,1.9,50,35.84287688136101,28,22,6,26,22,34,21950,4.944637797327872
569/801,SRX23724098,success,designated_clustering_2/SRX23724098_clustered.h5ad,2026-05-19 19:08:44,,1.3,50,47.91943579912186,18,14,4,27,24,260,10986,6.152981395717217
575/801,SRX23724109,success,designated_clustering_2/SRX23724109_clustered.h5ad,2026-05-19 19:11:14,,1.9,33,50.06970316171646,30,22,8,28,20,1207,6492,7.285125150820262
564/801,SRX23724125,success,designated_clustering_2/SRX23724125_clustered.h5ad,2026-05-19 19:11:22,,1.5,21,50.138645619153976,32,23,9,28,23,478,16492,9.98879728829495
574/801,SRX23724096,success,designated_clustering_2/SRX23724096_clustered.h5ad,2026-05-19 19:11:42,,1.8,50,48.40573966503143,26,17,9,27,24,217,11585,7.357665971083277
580/801,SRX27995731,success,designated_clustering_2/SRX27995731_clustered.h5ad,2026-05-19 19:12:48,,0.5,35,50.26727467775345,8,7,1,23,8,253,1193,4.151582608578395
579/801,SRX22996317,success,designated_clustering_2/SRX22996317_clustered.h5ad,2026-05-19 19:12:54,,0.1,20,50.36553908139467,9,8,1,22,11,143,2925,4.721203437437471
581/801,SRX17412842,success,designated_clustering_2/SRX17412842_clustered.h5ad,2026-05-19 19:14:21,,1.8,31,50.062376260757446,22,17,5,25,19,550,3081,7.871889465777677
571/801,SRX23802736,success,designated_clustering_2/SRX23802736_clustered.h5ad,2026-05-19 19:15:07,,1.6,39,50.12953504920006,23,18,5,27,26,303,18179,4.964065214620005
566/801,SRX23724107,success,designated_clustering_2/SRX23724107_clustered.h5ad,2026-05-19 19:15:17,,1.8,50,41.20713770389557,160,106,54,27,19,222,21976,4.288390910392483
582/801,SRX17412811,success,designated_clustering_2/SRX17412811_clustered.h5ad,2026-05-19 19:15:41,,1.8,23,50.00121705234051,22,13,9,24,17,428,6989,5.042496687568517
573/801,SRX23724082,success,designated_clustering_2/SRX23724082_clustered.h5ad,2026-05-19 19:15:43,,0.7,50,33.756523579359055,51,20,31,27,25,157,19020,2.4813979775456083
585/801,SRX17412814,success,designated_clustering_2/SRX17412814_clustered.h5ad,2026-05-19 19:16:19,,1.7,50,49.90868493914604,16,11,5,26,14,391,2495,5.25677831551928
570/801,SRX23802731,success,designated_clustering_2/SRX23802731_clustered.h5ad,2026-05-19 19:16:59,,1.5,48,50.000400841236115,24,17,7,28,26,178,22263,6.073456995737341
584/801,SRX17412831,success,designated_clustering_2/SRX17412831_clustered.h5ad,2026-05-19 19:17:04,,1.9,18,50.17649792134762,27,22,5,26,13,1494,5078,4.365619725544802
586/801,SRX17412844,success,designated_clustering_2/SRX17412844_clustered.h5ad,2026-05-19 19:17:05,,1.5,23,50.166650861501694,21,14,7,26,13,437,3596,5.530492403772678
576/801,SRX23724121,success,designated_clustering_2/SRX23724121_clustered.h5ad,2026-05-19 19:17:10,,1.5,50,38.08610290288925,56,36,20,27,23,188,17413,2.9988565237842626
587/801,SRX17412830,success,designated_clustering_2/SRX17412830_clustered.h5ad,2026-05-19 19:17:17,,1.6,36,50.34899413585663,21,13,8,26,10,903,4595,2.73587734447118
577/801,SRX23802728,success,designated_clustering_2/SRX23802728_clustered.h5ad,2026-05-19 19:17:34,,1.8,38,50.15237554907799,24,18,6,28,26,216,18756,5.615630332758511
588/801,SRX17412805,success,designated_clustering_2/SRX17412805_clustered.h5ad,2026-05-19 19:17:46,,1.6,35,50.00339895486832,22,18,4,25,17,238,5186,5.525229428057137
583/801,SRX17412807,success,designated_clustering_2/SRX17412807_clustered.h5ad,2026-05-19 19:17:50,,1.9,25,50.14767423272133,31,16,15,25,13,347,11680,2.314141673509434
590/801,SRX17412786,success,designated_clustering_2/SRX17412786_clustered.h5ad,2026-05-19 19:18:04,,1.7,37,50.038912147283554,20,9,11,26,11,813,3239,4.997739004722477
592/801,SRX17412812,success,designated_clustering_2/SRX17412812_clustered.h5ad,2026-05-19 19:18:05,,0.3,24,50.023140013217926,8,8,0,22,10,327,3013,3.2942437778853675
589/801,SRX17412832,success,designated_clustering_2/SRX17412832_clustered.h5ad,2026-05-19 19:18:10,,1.4,19,50.293660163879395,20,12,8,25,10,709,4108,3.541763141356429
594/801,SRX17412817,success,designated_clustering_2/SRX17412817_clustered.h5ad,2026-05-19 19:18:40,,1.9,50,43.35210770368576,23,21,2,26,17,183,3566,7.763836108436492
599/801,SRX17412802,success,designated_clustering_2/SRX17412802_clustered.h5ad,2026-05-19 19:18:45,,1.5,50,43.53068470954895,11,2,9,22,4,418,833,0.8829289424810236
593/801,SRX17412828,success,designated_clustering_2/SRX17412828_clustered.h5ad,2026-05-19 19:18:56,,1.5,22,50.21997466683388,21,18,3,26,17,356,5427,5.312493692966114
596/801,SRX17412820,success,designated_clustering_2/SRX17412820_clustered.h5ad,2026-05-19 19:18:59,,1.6,25,50.36711283028126,20,18,2,26,15,360,3476,6.22074661299845
598/801,SRX17412823,success,designated_clustering_2/SRX17412823_clustered.h5ad,2026-05-19 19:19:11,,0.9,46,50.0130757689476,12,8,4,26,8,1276,2632,3.6470441969006933
595/801,SRX17412843,success,designated_clustering_2/SRX17412843_clustered.h5ad,2026-05-19 19:19:28,,1.1,29,50.19031539559364,19,18,1,26,20,710,4869,6.957569259476852
600/801,SRX17412792,success,designated_clustering_2/SRX17412792_clustered.h5ad,2026-05-19 19:19:36,,0.5,50,48.08356314897537,9,5,4,23,8,187,1863,3.9046011332735437
597/801,SRX17412851,success,designated_clustering_2/SRX17412851_clustered.h5ad,2026-05-19 19:19:41,,1.9,30,50.18868297338486,26,21,5,26,19,570,4366,8.637013554366785
603/801,SRX17412849,success,designated_clustering_2/SRX17412849_clustered.h5ad,2026-05-19 19:19:45,,1.8,20,50.07224641740322,16,11,5,26,12,280,1186,7.288247744502124
591/801,SRX17412835,success,designated_clustering_2/SRX17412835_clustered.h5ad,2026-05-19 19:19:59,,1.8,20,50.040193274617195,26,23,3,28,17,1158,8603,5.781636275970566
601/801,SRX17412841,success,designated_clustering_2/SRX17412841_clustered.h5ad,2026-05-19 19:20:20,,1.5,18,50.41413567960262,19,17,2,26,14,749,4757,4.594492293420035
604/801,SRX17412825,success,designated_clustering_2/SRX17412825_clustered.h5ad,2026-05-19 19:20:26,,1.9,26,50.00566951930523,26,23,3,27,17,699,3634,7.500365676765192
605/801,SRX17412816,success,designated_clustering_2/SRX17412816_clustered.h5ad,2026-05-19 19:20:46,,1.5,50,48.87118190526962,25,19,6,26,19,584,4339,6.425473223715199
602/801,SRX17412808,success,designated_clustering_2/SRX17412808_clustered.h5ad,2026-05-19 19:20:56,,1.7,44,50.21130442619324,23,18,5,27,18,253,6756,6.769934848646987
607/801,SRX17412847,success,designated_clustering_2/SRX17412847_clustered.h5ad,2026-05-19 19:21:03,,1.6,35,50.011418014764786,23,18,5,26,18,743,4636,7.903662132348011
512/801,SRX27291563,success,designated_clustering_2/SRX27291563_clustered.h5ad,2026-05-19 19:21:08,,1.1,50,32.173606753349304,14,5,9,23,17,46,48309,1.3053456897390503
606/801,SRX17412839,success,designated_clustering_2/SRX17412839_clustered.h5ad,2026-05-19 19:21:30,,0.9,26,50.24105757474899,14,14,0,26,16,1321,6865,5.199674466616751
609/801,SRX17412845,success,designated_clustering_2/SRX17412845_clustered.h5ad,2026-05-19 19:21:34,,1.0,22,50.268010422587395,16,14,2,26,18,735,5221,6.1542529432037485
610/801,SRX23724111,success,designated_clustering_2/SRX23724111_clustered.h5ad,2026-05-19 19:22:15,,1.5,15,53.27723026275635,30,24,6,28,23,116,6300,11.561861244152693
614/801,SRX23724085,success,designated_clustering_2/SRX23724085_clustered.h5ad,2026-05-19 19:22:40,,1.7,41,50.06821006536484,21,18,3,27,19,580,4402,6.68157629428425
608/801,SRX17412836,success,designated_clustering_2/SRX17412836_clustered.h5ad,2026-05-19 19:23:15,,1.9,15,51.28326416015625,30,23,7,28,21,1071,12184,6.470731644522232
618/801,ERX4409915,success,designated_clustering_2/ERX4409915_clustered.h5ad,2026-05-19 19:23:18,,0.4,50,37.43492513895035,4,1,3,8,4,35,2409,1.0210033986366363
621/801,SRX17412822,failed,,2026-05-19 19:23:21,InsufficientCellsError: 74 cells remaining after filtering (threshold: 500),,,,,,,,,,,
612/801,SRX23724104,success,designated_clustering_2/SRX23724104_clustered.h5ad,2026-05-19 19:23:29,,0.7,47,50.14320909976959,18,15,3,28,20,1750,7917,6.754370194773758
619/801,SRX10327368,success,designated_clustering_2/SRX10327368_clustered.h5ad,2026-05-19 19:23:59,,0.4,50,44.4297268986702,4,4,0,10,6,105,3012,2.111066798210005
611/801,SRX23724106,success,designated_clustering_2/SRX23724106_clustered.h5ad,2026-05-19 19:24:04,,1.6,50,48.430171608924866,29,24,5,28,21,898,9646,7.3556053734254805
613/801,SRX23724105,success,designated_clustering_2/SRX23724105_clustered.h5ad,2026-05-19 19:24:14,,1.9,40,50.12991949915886,30,21,9,28,19,1509,8871,6.062819383994352
625/801,SRX17412833,success,designated_clustering_2/SRX17412833_clustered.h5ad,2026-05-19 19:24:53,,0.1,50,49.10634905099869,2,2,0,24,3,439,805,1.9089797344508899
623/801,SRX17412813,success,designated_clustering_2/SRX17412813_clustered.h5ad,2026-05-19 19:24:57,,1.3,50,46.763575077056885,16,14,2,27,14,299,3094,5.120257032282794
617/801,SRX8008855,success,designated_clustering_2/SRX8008855_clustered.h5ad,2026-05-19 19:25:01,,0.5,50,47.0611646771431,7,7,0,11,7,41,9898,1.017751780199469
622/801,SRX17412848,success,designated_clustering_2/SRX17412848_clustered.h5ad,2026-05-19 19:25:05,,0.6,28,50.10092854499817,11,9,2,25,12,899,3726,4.579158704462618
626/801,SRX17412850,success,designated_clustering_2/SRX17412850_clustered.h5ad,2026-05-19 19:26:13,,1.8,32,50.15450045466423,22,19,3,24,12,2056,3844,5.257789364031724
627/801,SRX17412809,success,designated_clustering_2/SRX17412809_clustered.h5ad,2026-05-19 19:26:21,,0.5,39,50.20338296890259,10,9,1,23,11,1233,3430,3.923331522462565
628/801,SRX17412806,success,designated_clustering_2/SRX17412806_clustered.h5ad,2026-05-19 19:26:22,,1.4,46,50.16610622406006,20,17,3,26,11,896,3078,5.150459805442703
629/801,SRX17412821,success,designated_clustering_2/SRX17412821_clustered.h5ad,2026-05-19 19:27:12,,1.0,50,47.34185114502907,17,15,2,27,13,740,4363,4.832875421114822
624/801,SRX17412827,success,designated_clustering_2/SRX17412827_clustered.h5ad,2026-05-19 19:27:21,,0.9,21,50.155941024422646,18,15,3,27,18,754,7254,6.443246564817042
630/801,SRX17412834,success,designated_clustering_2/SRX17412834_clustered.h5ad,2026-05-19 19:27:38,,0.6,15,51.07612609863281,10,9,1,27,13,993,5113,3.6196172888166545
632/801,SRX17412815,success,designated_clustering_2/SRX17412815_clustered.h5ad,2026-05-19 19:27:40,,0.4,37,50.15731379389763,9,8,1,25,9,355,1896,4.668863533717283
631/801,SRX17412840,success,designated_clustering_2/SRX17412840_clustered.h5ad,2026-05-19 19:27:52,,0.6,34,50.200024247169495,10,8,2,23,11,952,3028,3.8837435642674873
634/801,SRX17412818,success,designated_clustering_2/SRX17412818_clustered.h5ad,2026-05-19 19:28:21,,0.6,49,50.1765176653862,11,11,0,26,8,595,1780,4.044763600174427
635/801,SRX17412837,success,designated_clustering_2/SRX17412837_clustered.h5ad,2026-05-19 19:28:58,,1.4,40,50.12529790401459,17,13,4,28,14,462,3167,4.737981089844751
636/801,SRX17412846,success,designated_clustering_2/SRX17412846_clustered.h5ad,2026-05-19 19:29:05,,1.4,27,50.14994256198406,17,12,5,24,11,700,2433,5.593048820784971
633/801,SRX17412853,success,designated_clustering_2/SRX17412853_clustered.h5ad,2026-05-19 19:29:36,,1.5,23,50.10795742273331,21,16,5,27,19,610,6593,4.94050640097364
641/801,SRX19704117,success,designated_clustering_2/SRX19704117_clustered.h5ad,2026-05-19 19:30:05,,1.2,28,50.04675053060055,18,12,6,25,19,933,2452,5.91696468126139
637/801,SRX17412829,success,designated_clustering_2/SRX17412829_clustered.h5ad,2026-05-19 19:30:15,,1.1,21,50.03530979156494,21,15,6,27,16,604,5888,6.494762647126944
644/801,SRX26517112,failed,,2026-05-19 19:30:17,InsufficientCellsError: 377 cells remaining after filtering (threshold: 500),,,,,,,,,,,
578/801,SRX23724091,success,designated_clustering_2/SRX23724091_clustered.h5ad,2026-05-19 19:30:18,,0.1,50,15.878933668136597,1,1,0,28,23,29,33516,0.7303974221267432
638/801,SRX17412824,success,designated_clustering_2/SRX17412824_clustered.h5ad,2026-05-19 19:30:19,,0.4,22,50.37403106689453,9,9,0,26,14,1002,6240,4.73238595625236
620/801,SRX12509396,success,designated_clustering_2/SRX12509396_clustered.h5ad,2026-05-19 19:30:26,,0.2,50,39.4720233976841,4,3,1,9,6,31,13502,0.9493677569157611
643/801,SRX26517110,success,designated_clustering_2/SRX26517110_clustered.h5ad,2026-05-19 19:30:33,,0.1,50,41.55855029821396,3,2,1,6,3,2583,616,0.5612738801137135
640/801,SRX19704118,success,designated_clustering_2/SRX19704118_clustered.h5ad,2026-05-19 19:30:52,,0.8,20,50.193837471306324,16,15,1,24,18,900,5973,5.737380528747803
642/801,SRX24732576,success,designated_clustering_2/SRX24732576_clustered.h5ad,2026-05-19 19:30:55,,1.3,50,47.74715378880501,18,15,3,25,13,164,3342,5.929645198008083
639/801,SRX17412854,success,designated_clustering_2/SRX17412854_clustered.h5ad,2026-05-19 19:30:57,,1.2,32,50.4034698009491,19,16,3,27,17,1536,7145,3.7970797999673302
649/801,SRX8372494,success,designated_clustering_2/SRX8372494_clustered.h5ad,2026-05-19 19:31:32,,0.9,50,48.383572697639465,15,10,5,22,6,277,2447,2.499255481392386
653/801,SRX9495612,failed,,2026-05-19 19:31:35,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
652/801,SRX9768488,success,designated_clustering_2/SRX9768488_clustered.h5ad,2026-05-19 19:32:06,,0.3,50,41.909319162368774,4,4,0,13,4,43,3030,1.0187345216775683
647/801,SRX8372495,success,designated_clustering_2/SRX8372495_clustered.h5ad,2026-05-19 19:32:08,,0.9,41,50.04487782716751,17,12,5,23,14,257,5667,4.683524658836841
645/801,SRX10425170,success,designated_clustering_2/SRX10425170_clustered.h5ad,2026-05-19 19:32:15,,1.7,29,50.296756997704506,28,23,5,25,19,318,4932,8.40349673656332
651/801,SRX9127142,success,designated_clustering_2/SRX9127142_clustered.h5ad,2026-05-19 19:32:25,,1.1,50,46.06896787881851,15,13,2,18,11,360,3206,2.993819612463718
616/801,SRX23802735,success,designated_clustering_2/SRX23802735_clustered.h5ad,2026-05-19 19:32:46,,1.4,27,50.20832568407059,29,22,7,28,26,211,22845,5.2557374541323245
658/801,SRX10048393,success,designated_clustering_2/SRX10048393_clustered.h5ad,2026-05-19 19:32:56,,1.5,50,47.270868718624115,18,14,4,25,11,85,1450,5.674066057567848
615/801,SRX23724073,success,designated_clustering_2/SRX23724073_clustered.h5ad,2026-05-19 19:32:58,,1.8,15,50.53898096084595,39,29,10,28,28,150,24013,6.852013991313609
659/801,SRX9768485,success,designated_clustering_2/SRX9768485_clustered.h5ad,2026-05-19 19:33:15,,0.4,50,41.02591276168823,3,1,2,7,2,29,1192,0.81700263958698
657/801,SRX9127143,success,designated_clustering_2/SRX9127143_clustered.h5ad,2026-05-19 19:33:23,,0.5,50,42.69573241472244,8,5,3,16,9,1043,3229,1.4455598498109758
661/801,SRX10048396,success,designated_clustering_2/SRX10048396_clustered.h5ad,2026-05-19 19:34:22,,1.2,50,47.702961415052414,19,18,1,26,13,76,3320,6.36922911216096
664/801,SRX9768483,failed,,2026-05-19 19:34:25,"ValueError: Found array with 0 sample(s) (shape=(0, 193)) while a minimum of 1 is required.",,,,,,,,,,,
655/801,SRX9430527,success,designated_clustering_2/SRX9430527_clustered.h5ad,2026-05-19 19:35:05,,0.1,50,48.22556972503662,3,2,1,16,5,229,7155,2.305010036125505
663/801,SRX10008476,success,designated_clustering_2/SRX10008476_clustered.h5ad,2026-05-19 19:35:18,,0.1,50,42.336420714855194,3,3,0,10,4,39,2287,1.091115434500229
667/801,SRX9495614,failed,,2026-05-19 19:35:20,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
