accession,r2Key,status,reason,studyAccession
SRX22613095,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613095.h5ad,skip,cell_type_all_missing,
ERX11662382,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662382.h5ad,success,,PRJEB68315
SRX23886062,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886062.h5ad,skip,cell_type_all_missing,
SRX23886064,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886064.h5ad,success,,PRJNA787622
SRX23886065,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886065.h5ad,skip,cell_type_all_missing,
ERX11662366,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662366.h5ad,success,,PRJEB68315
ERX11662359,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662359.h5ad,success,,PRJEB68315
SRX22613098,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613098.h5ad,success,,PRJNA1044045
SRX23886063,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886063.h5ad,success,,PRJNA787622
ERX11662338,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662338.h5ad,success,,PRJEB68315
ERX8831396,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831396.h5ad,success,,PRJEB51720
SRX19192164,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19192164.h5ad,skip,cell_type_all_missing,
SRX10327362,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10327362.h5ad,success,,PRJNA713903
ERX11876750,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876750.h5ad,success,,PRJEB71931
SRX23886061,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886061.h5ad,success,,PRJNA787622
SRX23886066,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23886066.h5ad,success,,PRJNA787622
SRX23907174,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23907174.h5ad,success,,PRJNA799597
ERX11876760,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876760.h5ad,success,,PRJEB71931
ERX11876763,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876763.h5ad,success,,PRJEB71931
ERX11876766,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876766.h5ad,success,,PRJEB71931
ERX11876767,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876767.h5ad,success,,PRJEB71931
SRX18248070,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248070.h5ad,success,,PRJNA901260
ERX11876755,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876755.h5ad,success,,PRJEB71931
ERX11876754,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876754.h5ad,success,,PRJEB71931
SRX24476193,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24476193.h5ad,success,,PRJNA1108329
SRX26524302,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524302.h5ad,success,,PRJNA1178711
SRX27123183,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27123183.h5ad,success,,PRJNA1200047
ERX11876753,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876753.h5ad,success,,PRJEB71931
SRX26524301,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524301.h5ad,success,,PRJNA1178711
ERX11876769,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876769.h5ad,success,,PRJEB71931
ERX11876768,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876768.h5ad,success,,PRJEB71931
ERX11876758,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876758.h5ad,success,,PRJEB71931
ERX11876751,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876751.h5ad,success,,PRJEB71931
ERX11876765,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876765.h5ad,success,,PRJEB71931
SRX25319045,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319045.h5ad,success,,PRJNA1135481
SRX26487588,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487588.h5ad,success,,PRJNA1177414
SRX26487574,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487574.h5ad,success,,PRJNA1177414
ERX11876770,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876770.h5ad,success,,PRJEB71931
SRX19907929,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907929.h5ad,success,,PRJNA953399
SRX26524299,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26524299.h5ad,success,,PRJNA1178711
SRX25261711,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261711.h5ad,success,,PRJNA1133168
SRX25319046,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319046.h5ad,success,,PRJNA1135481
SRX25319040,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319040.h5ad,success,,PRJNA1135481
SRX22996343,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996343.h5ad,success,,PRJNA1055415
SRX25363536,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25363536.h5ad,success,,PRJNA1136930
SRX20407496,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407496.h5ad,success,,PRJNA973717
ERX11876748,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876748.h5ad,success,,PRJEB71931
SRX23457976,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23457976.h5ad,success,,PRJNA1071273
SRX20221196,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20221196.h5ad,success,,PRJNA967233
SRX21460121,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460121.h5ad,success,,PRJNA1008237
SRX20811753,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811753.h5ad,success,,PRJNA988459
SRX25363533,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25363533.h5ad,success,,PRJNA1136930
SRX24312776,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312776.h5ad,success,,PRJNA1102355
SRX25261767,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261767.h5ad,success,,PRJNA1133168
SRX25319037,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319037.h5ad,success,,PRJNA1135481
SRX23457979,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23457979.h5ad,success,,PRJNA1071273
SRX22996385,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996385.h5ad,success,,PRJNA1055415
SRX24313469,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24313469.h5ad,success,,PRJNA1102421
