accession,r2Key,status,reason,studyAccession
SRX19844838,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844838.h5ad,success,,PRJNA945854
SRX19844817,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844817.h5ad,success,,PRJNA945854
SRX19844819,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844819.h5ad,success,,PRJNA945854
SRX19844844,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844844.h5ad,success,,PRJNA945854
SRX19844826,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844826.h5ad,success,,PRJNA945854
SRX19844840,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844840.h5ad,success,,PRJNA945854
SRX25737230,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737230.h5ad,success,,PRJNA1149046
SRX19844818,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844818.h5ad,success,,PRJNA945854
SRX19780685,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780685.h5ad,success,,PRJNA949104
SRX19844829,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844829.h5ad,success,,PRJNA945854
SRX19844841,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844841.h5ad,success,,PRJNA945854
SRX19844821,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844821.h5ad,success,,PRJNA945854
SRX19844832,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844832.h5ad,success,,PRJNA945854
SRX19836242,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19836242.h5ad,success,,PRJNA950922
SRX18965980,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18965980.h5ad,success,,PRJNA919922
SRX18965985,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18965985.h5ad,success,,PRJNA919922
SRX18965986,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18965986.h5ad,success,,PRJNA919922
SRX18965976,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18965976.h5ad,success,,PRJNA919922
SRX14891756,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891756.h5ad,success,,PRJNA827791
SRX19844814,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844814.h5ad,success,,PRJNA945854
SRX19836244,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19836244.h5ad,success,,PRJNA950922
SRX19844815,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844815.h5ad,success,,PRJNA945854
SRX19844837,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844837.h5ad,success,,PRJNA945854
SRX19780686,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780686.h5ad,success,,PRJNA949104
SRX19844835,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844835.h5ad,success,,PRJNA945854
SRX25737229,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737229.h5ad,success,,PRJNA1149046
SRX19844836,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844836.h5ad,success,,PRJNA945854
SRX19844813,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844813.h5ad,success,,PRJNA945854
SRX19844823,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844823.h5ad,success,,PRJNA945854
SRX19844822,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844822.h5ad,success,,PRJNA945854
SRX19844812,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844812.h5ad,success,,PRJNA945854
SRX19844842,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844842.h5ad,success,,PRJNA945854
SRX19836241,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19836241.h5ad,success,,PRJNA950922
SRX19886046,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886046.h5ad,success,,PRJNA952672
SRX19886026,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886026.h5ad,success,,PRJNA952672
SRX19844850,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844850.h5ad,success,,PRJNA945854
SRX19886045,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886045.h5ad,success,,PRJNA952672
SRX19886027,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886027.h5ad,success,,PRJNA952672
SRX25737227,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737227.h5ad,success,,PRJNA1149046
SRX25737232,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737232.h5ad,success,,PRJNA1149046
SRX19844847,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844847.h5ad,success,,PRJNA945854
SRX19844848,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844848.h5ad,success,,PRJNA945854
SRX19844828,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844828.h5ad,success,,PRJNA945854
SRX19886023,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886023.h5ad,success,,PRJNA952672
SRX19886022,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886022.h5ad,success,,PRJNA952672
SRX19886031,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886031.h5ad,success,,PRJNA952672
SRX19886040,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886040.h5ad,success,,PRJNA952672
SRX19886029,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886029.h5ad,success,,PRJNA952672
SRX19886042,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886042.h5ad,success,,PRJNA952672
SRX19886039,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886039.h5ad,success,,PRJNA952672
SRX19886037,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886037.h5ad,success,,PRJNA952672
SRX19886041,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886041.h5ad,success,,PRJNA952672
SRX19886035,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886035.h5ad,success,,PRJNA952672
SRX19886050,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886050.h5ad,success,,PRJNA952672
SRX19886034,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886034.h5ad,success,,PRJNA952672
SRX19704116,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704116.h5ad,success,,PRJNA945854
SRX19910927,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910927.h5ad,success,,PRJNA953640
SRX19910935,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910935.h5ad,success,,PRJNA953640
SRX19910933,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910933.h5ad,success,,PRJNA953640
SRX19907930,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907930.h5ad,success,,PRJNA953399
SRX19910912,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910912.h5ad,success,,PRJNA953640
SRX19907927,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907927.h5ad,success,,PRJNA953399
SRX19910941,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910941.h5ad,success,,PRJNA953640
SRX19844824,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844824.h5ad,success,,PRJNA945854
SRX19886049,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886049.h5ad,success,,PRJNA952672
SRX19704154,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704154.h5ad,success,,PRJNA945854
SRX19704152,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704152.h5ad,success,,PRJNA945854
SRX19704153,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704153.h5ad,success,,PRJNA945854
SRX20180659,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180659.h5ad,success,,PRJNA966111
SRX20180655,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180655.h5ad,success,,PRJNA966111
SRX10606547,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10606547.h5ad,success,,PRJNA722248
SRX25737234,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737234.h5ad,success,,PRJNA1149046
SRX20180654,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180654.h5ad,success,,PRJNA966111
SRX20407494,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407494.h5ad,success,,PRJNA973717
SRX20407493,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407493.h5ad,success,,PRJNA973717
SRX20407497,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407497.h5ad,success,,PRJNA973717
SRX20407499,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407499.h5ad,success,,PRJNA973717
SRX19693847,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19693847.h5ad,success,,PRJNA945417
SRX25737231,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737231.h5ad,success,,PRJNA1149046
SRX19704193,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704193.h5ad,success,,PRJNA945854
SRX19704175,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704175.h5ad,success,,PRJNA945854
SRX19727433,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727433.h5ad,success,,PRJNA946652
SRX19727432,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727432.h5ad,success,,PRJNA946652
SRX19727426,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727426.h5ad,success,,PRJNA946652
SRX19704145,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704145.h5ad,success,,PRJNA945854
SRX19704143,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704143.h5ad,success,,PRJNA945854
SRX19704194,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704194.h5ad,success,,PRJNA945854
SRX19704144,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704144.h5ad,success,,PRJNA945854
SRX19704173,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704173.h5ad,success,,PRJNA945854
SRX19780680,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780680.h5ad,success,,PRJNA949104
SRX19704172,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704172.h5ad,success,,PRJNA945854
SRX25737235,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737235.h5ad,success,,PRJNA1149046
SRX19780682,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780682.h5ad,success,,PRJNA949104
SRX19780683,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780683.h5ad,success,,PRJNA949104
SRX19780684,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780684.h5ad,success,,PRJNA949104
SRX19780678,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780678.h5ad,success,,PRJNA949104
SRX19704903,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704903.h5ad,success,,PRJNA945866
SRX20811756,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811756.h5ad,success,,PRJNA988459
SRX20970826,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20970826.h5ad,success,,PRJNA993165
SRX20612052,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20612052.h5ad,success,,PRJNA980643
SRX20811757,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811757.h5ad,success,,PRJNA988459
SRX20811755,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811755.h5ad,success,,PRJNA988459
SRX20970828,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20970828.h5ad,success,,PRJNA993165
SRX20811747,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811747.h5ad,success,,PRJNA988459
SRX20811748,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811748.h5ad,success,,PRJNA988459
SRX20811749,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811749.h5ad,success,,PRJNA988459
SRX20811743,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811743.h5ad,success,,PRJNA988459
SRX21311408,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21311408.h5ad,success,,PRJNA1003807
SRX21460116,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460116.h5ad,success,,PRJNA1008237
SRX21460117,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460117.h5ad,success,,PRJNA1008237
SRX21460106,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460106.h5ad,success,,PRJNA1008237
SRX19366526,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19366526.h5ad,success,,PRJNA934917
SRX21460094,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460094.h5ad,success,,PRJNA1008237
SRX21460115,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460115.h5ad,success,,PRJNA1008237
SRX21460093,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460093.h5ad,success,,PRJNA1008237
SRX21808828,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21808828.h5ad,success,,PRJNA1018509
SRX25737228,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737228.h5ad,success,,PRJNA1149046
SRX21808827,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21808827.h5ad,success,,PRJNA1018509
SRX24275202,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24275202.h5ad,success,,PRJNA1100571
SRX22130035,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22130035.h5ad,success,,PRJNA1029622
SRX21897876,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21897876.h5ad,success,,PRJNA1021137
SRX21897877,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21897877.h5ad,success,,PRJNA1021137
SRX21897874,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21897874.h5ad,success,,PRJNA1021137
SRX21897868,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21897868.h5ad,success,,PRJNA1021137
SRX21808834,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21808834.h5ad,success,,PRJNA1018509
SRX22478206,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22478206.h5ad,success,,PRJNA1037570
SRX22558190,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22558190.h5ad,success,,PRJNA1041779
SRX22558193,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22558193.h5ad,success,,PRJNA1041779
SRX22538049,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22538049.h5ad,success,,PRJNA1010235
SRX21203377,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21203377.h5ad,success,,PRJNA1000503
SRX22836418,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22836418.h5ad,success,,PRJNA1050294
SRX22836420,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22836420.h5ad,success,,PRJNA1050294
SRX22836421,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22836421.h5ad,success,,PRJNA1050294
SRX22226494,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226494.h5ad,success,,PRJNA1032112
SRX22226496,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226496.h5ad,success,,PRJNA1032112
SRX22226498,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226498.h5ad,success,,PRJNA1032112
SRX22226500,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226500.h5ad,success,,PRJNA1032112
SRX22226492,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226492.h5ad,success,,PRJNA1032112
SRX23341417,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23341417.h5ad,skip,excessive_cell_dropout,
SRX23341416,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23341416.h5ad,skip,excessive_cell_dropout,
SRX23341414,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23341414.h5ad,skip,excessive_cell_dropout,
SRX23331468,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331468.h5ad,skip,excessive_cell_dropout,
SRX23331467,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331467.h5ad,success,,PRJNA1066790
SRX22996311,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996311.h5ad,success,,PRJNA1055415
SRX23341415,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23341415.h5ad,skip,excessive_cell_dropout,
SRX22996313,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996313.h5ad,success,,PRJNA1055415
SRX22996364,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996364.h5ad,success,,PRJNA1055415
SRX23331472,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331472.h5ad,success,,PRJNA1066790
SRX22996380,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996380.h5ad,success,,PRJNA1055415
SRX22996391,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996391.h5ad,success,,PRJNA1055415
SRX22996381,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996381.h5ad,success,,PRJNA1055415
SRX22996393,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996393.h5ad,success,,PRJNA1055415
SRX22996361,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996361.h5ad,success,,PRJNA1055415
SRX23331461,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331461.h5ad,success,,PRJNA1066790
SRX22996397,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996397.h5ad,success,,PRJNA1055415
SRX22996353,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996353.h5ad,success,,PRJNA1055415
SRX22996363,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996363.h5ad,success,,PRJNA1055415
SRX23331464,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331464.h5ad,success,,PRJNA1066790
SRX23331473,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331473.h5ad,success,,PRJNA1066790
SRX23395179,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395179.h5ad,success,,PRJNA1069102
SRX23395181,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395181.h5ad,success,,PRJNA1069102
SRX23395180,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395180.h5ad,success,,PRJNA1069102
SRX22996354,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996354.h5ad,success,,PRJNA1055415
SRX23331470,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331470.h5ad,success,,PRJNA1066790
SRX23331469,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331469.h5ad,success,,PRJNA1066790
SRX23331471,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331471.h5ad,success,,PRJNA1066790
SRX23395182,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395182.h5ad,success,,PRJNA1069102
SRX23395191,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395191.h5ad,success,,PRJNA1069102
SRX22996368,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996368.h5ad,success,,PRJNA1055415
SRX23395185,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395185.h5ad,success,,PRJNA1069102
SRX22996367,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996367.h5ad,success,,PRJNA1055415
SRX23395189,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395189.h5ad,success,,PRJNA1069102
SRX23457973,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23457973.h5ad,success,,PRJNA1071273
