cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
31,COVID-19 / SARS-CoV-2,1,2,1,130,57,False,basal cell,resolved,basal cell,0.9575971731448764
31,Cystic Fibrosis,1,8,1,127,14,False,basal cell,resolved,basal cell,0.9575971731448764
31,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
31,Interstitial Lung Disease,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
31,Lung Cancer,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
32,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.2773722627737226
32,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.2773722627737226
33,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.5625
34,COPD,0,0,0,0,0,False,unresolved,unresolved,intermediate monocyte,0.22170722286597142
34,COVID-19 / SARS-CoV-2,1,3,1,83,73,False,unresolved,unresolved,intermediate monocyte,0.22170722286597142
34,IPF / Pulmonary Fibrosis,1,2,1,22,16,False,unresolved,unresolved,intermediate monocyte,0.22170722286597142
34,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,intermediate monocyte,0.22170722286597142
34,Lung Cancer,2,4,4,53,62,True,unresolved,unresolved,intermediate monocyte,0.22170722286597142
34,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,intermediate monocyte,0.22170722286597142
35,IPF / Pulmonary Fibrosis,1,2,4,24,66,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6390532544378699
36,COPD,0,0,0,0,0,False,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
36,COVID-19 / SARS-CoV-2,1,12,4,244,74,True,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
36,IPF / Pulmonary Fibrosis,3,34,28,773,819,True,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
36,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
36,Lung Cancer,2,7,7,129,102,True,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
36,Pulmonary Hypertension,1,2,2,25,36,True,unresolved,unresolved,capillary endothelial cell,0.5119933829611248
38,COVID-19 / SARS-CoV-2,1,7,1,86,14,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7489878542510121
38,IPF / Pulmonary Fibrosis,1,4,8,84,145,True,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7489878542510121
38,Lung Cancer,0,0,0,0,0,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7489878542510121
39,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.3532934131736527
