position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
28/116,SRX17689209,dry_run,cytetype_pipeline_20260522_175813/SRX17689209_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17689209_cyteonto.csv,,,2026-05-26 11:11:01,,
29/116,SRX17896691,dry_run,cytetype_pipeline_20260522_175813/SRX17896691_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17896691_cyteonto.csv,,,2026-05-26 11:11:01,,
30/116,SRX19704158,dry_run,cytetype_pipeline_20260522_175813/SRX19704158_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19704158_cyteonto.csv,,,2026-05-26 11:11:01,,
31/116,SRX19704159,dry_run,cytetype_pipeline_20260522_175813/SRX19704159_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19704159_cyteonto.csv,,,2026-05-26 11:11:01,,
32/116,SRX19704188,dry_run,cytetype_pipeline_20260522_175813/SRX19704188_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19704188_cyteonto.csv,,,2026-05-26 11:11:01,,
33/116,SRX19704194,dry_run,cytetype_pipeline_20260522_175813/SRX19704194_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19704194_cyteonto.csv,,,2026-05-26 11:11:01,,
34/116,SRX19704196,dry_run,cytetype_pipeline_20260522_175813/SRX19704196_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19704196_cyteonto.csv,,,2026-05-26 11:11:01,,
35/116,SRX19727428,dry_run,cytetype_pipeline_20260522_175813/SRX19727428_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19727428_cyteonto.csv,,,2026-05-26 11:11:01,,
36/116,SRX19727429,dry_run,cytetype_pipeline_20260522_175813/SRX19727429_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19727429_cyteonto.csv,,,2026-05-26 11:11:01,,
37/116,SRX19727432,dry_run,cytetype_pipeline_20260522_175813/SRX19727432_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19727432_cyteonto.csv,,,2026-05-26 11:11:01,,
38/116,SRX19727434,dry_run,cytetype_pipeline_20260522_175813/SRX19727434_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19727434_cyteonto.csv,,,2026-05-26 11:11:01,,
39/116,SRX19727435,dry_run,cytetype_pipeline_20260522_175813/SRX19727435_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19727435_cyteonto.csv,,,2026-05-26 11:11:01,,
40/116,SRX19844818,dry_run,cytetype_pipeline_20260522_175813/SRX19844818_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844818_cyteonto.csv,,,2026-05-26 11:11:01,,
