studyAccession,studyTitle,geoAccession,pubmedIds,srxAccession,h5adName,condition,diseaseJson,assayHint,libraryStrategy,tissueType,sampleTitle,conditionEvidence
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704159,SRX19704159.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD83-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704160,SRX19704160.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD84-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704161,SRX19704161.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD84-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704162,SRX19704162.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD88-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704164,SRX19704164.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD88-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704165,SRX19704165.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD91-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704166,SRX19704166.h5ad,disease,pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD92-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704169,SRX19704169.h5ad,disease,interstitial lung disease,scRNA,RNA-Seq,More_fibrotic;Lung,TILD123-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704170,SRX19704170.h5ad,disease,Interstitial Lung Disease (ILD),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD136-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704171,SRX19704171.h5ad,disease,Interstitial Lung Disease (ILD),scRNA,RNA-Seq,More_fibrotic;Lung,TILD136-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704179,SRX19704179.h5ad,control,pulmonary fibrosis,scRNA,RNA-Seq,Control;Lung,VUHD117,disease state/diagnosis=Control
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704180,SRX19704180.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD102-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704181,SRX19704181.h5ad,disease,idiopathic pulmonary fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD102-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704186,SRX19704186.h5ad,disease,idiopathic pulmonary fibrosis (IPF),scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD87-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704187,SRX19704187.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD87-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704188,SRX19704188.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD98-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704193,SRX19704193.h5ad,disease,interstitial lung disease,scRNA,RNA-Seq,Less_fibrotic;Lung,TILD103-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704194,SRX19704194.h5ad,disease,Interstitial Lung Disease (ILD),scRNA,RNA-Seq,More_fibrotic;Lung,TILD103-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704196,SRX19704196.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,Less_fibrotic;Lung,TILD126-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704197,SRX19704197.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,TILD126-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19704198,SRX19704198.h5ad,other,Interstitial Pneumonia with Autoimmune Features (IPAF),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD100-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844818,SRX19844818.h5ad,disease,ILD (Interstitial Lung Disease),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD049-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844819,SRX19844819.h5ad,disease,ILD (Interstitial Lung Disease),scRNA,RNA-Seq,More_fibrotic;Lung,TILD049-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844820,SRX19844820.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD051-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844821,SRX19844821.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,TILD051-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844822,SRX19844822.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD055-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844823,SRX19844823.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,More_fibrotic;Lung,TILD055-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844824,SRX19844824.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD059-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844825,SRX19844825.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,TILD059-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844828,SRX19844828.h5ad,control,pulmonary fibrosis,scRNA,RNA-Seq,Control;Lung,VUHD84,disease state=Control
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844830,SRX19844830.h5ad,disease,Idiopathic Pulmonary Fibrosis (IPF),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD79-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844831,SRX19844831.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD73-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844832,SRX19844832.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD73-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844833,SRX19844833.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,More_fibrotic;Lung,VUILD77-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844834,SRX19844834.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD037-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844835,SRX19844835.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,TILD037-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844836,SRX19844836.h5ad,disease,ILD (Interstitial Lung Disease),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD039-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844837,SRX19844837.h5ad,disease,interstitial lung disease,scRNA,RNA-Seq,More_fibrotic;Lung,TILD039-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844838,SRX19844838.h5ad,disease,Interstitial Lung Disease (ILD),scRNA,RNA-Seq,Less_fibrotic;Lung,TILD041-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844839,SRX19844839.h5ad,disease,ILD (Interstitial Lung Disease),scRNA,RNA-Seq,More_fibrotic;Lung,TILD041-MF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844846,SRX19844846.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD67-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844848,SRX19844848.h5ad,disease,IPF (Idiopathic Pulmonary Fibrosis),scRNA,RNA-Seq,Less_fibrotic;Lung,VUILD68-LF,
PRJNA945854,Cell type-specific and disease-associated eQTL in the human lung,GSE227136,36993211;38548990,SRX19844849,SRX19844849.h5ad,disease,idiopathic pulmonary fibrosis,scRNA,RNA-Seq,More_fibrotic;Lung,VUILD68-MF,
