srx_accession,file_path,obs_count,disease,diseaseLabel,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX14767851,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767851.h5ad,4962,Cystic Fibrosis,Cystic Fibrosis,3770.0,14509.0,4962
SRX9246206,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246206.h5ad,7341,cystic fibrosis,Cystic Fibrosis,3835.0,13565.0,7341
SRX14767853,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767853.h5ad,9187,Cystic Fibrosis,Cystic Fibrosis,3190.0,8588.0,9187
SRX8349956,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8349956.h5ad,1400,Cystic fibrosis,Cystic Fibrosis,1876.0,7583.5,1400
SRX8349959,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8349959.h5ad,2309,cystic fibrosis (dF508/dF508),Cystic Fibrosis,3312.0,8945.0,2309
SRX9246208,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246208.h5ad,5714,cystic fibrosis,Cystic Fibrosis,4074.0,15275.0,5714
SRX14767854,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767854.h5ad,6036,Cystic fibrosis context,Cystic Fibrosis,3281.5,10373.0,6036
SRX9246199,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246199.h5ad,5871,cystic fibrosis,Cystic Fibrosis,5069.0,23755.0,5871
SRX8349958,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8349958.h5ad,2913,cystic fibrosis (ΔF508/ΔF508 genotype),Cystic Fibrosis,2935.0,9839.0,2913
SRX14767852,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767852.h5ad,6492,Cystic Fibrosis,Cystic Fibrosis,4078.5,13559.0,6492
SRX9246207,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246207.h5ad,4659,cystic fibrosis,Cystic Fibrosis,4762.0,18344.0,4659
SRX9246200,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246200.h5ad,3759,cystic fibrosis,Cystic Fibrosis,6181.0,32677.0,3759
SRX9246204,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246204.h5ad,4710,cystic fibrosis,Cystic Fibrosis,4118.0,14120.0,4710
SRX9246201,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246201.h5ad,3109,cystic fibrosis,Cystic Fibrosis,5881.0,31590.0,3109
SRX8349961,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8349961.h5ad,1689,cystic fibrosis (ΔF508/ΔF508 genotype),Cystic Fibrosis,2195.0,6390.0,1689
SRX9246202,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9246202.h5ad,15930,cystic fibrosis,Cystic Fibrosis,2999.0,9086.0,15930
