srx_accession,file_path,obs_count,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX23724100,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724100.h5ad,10638,1350.0,2309.5,10638
SRX23724123,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724123.h5ad,6524,3169.5,8892.5,6524
SRX23724125,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724125.h5ad,16970,2649.0,6553.0,16970
SRX23724081,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724081.h5ad,9195,1947.0,3535.0,9195
SRX23724107,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724107.h5ad,22198,2147.0,3692.0,22198
SRX23724098,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724098.h5ad,11246,1427.5,2577.0,11246
SRX23802731,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802731.h5ad,22441,1448.0,2530.0,22441
SRX23802736,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802736.h5ad,18482,1692.0,3068.0,18482
SRX23724090,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724090.h5ad,4151,3409.0,10370.0,4151
SRX23724082,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724082.h5ad,19177,1781.0,3050.0,19177
SRX23724096,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724096.h5ad,11802,1571.5,2837.0,11802
SRX23724109,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724109.h5ad,7699,2591.0,5980.0,7699
SRX23724121,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724121.h5ad,17601,1466.0,2390.0,17601
SRX23802728,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802728.h5ad,18972,1756.0,3239.0,18972
SRX23724091,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724091.h5ad,33545,2861.0,5851.0,33545
SRX23724111,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724111.h5ad,6416,2442.0,5481.5,6416
SRX23724106,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724106.h5ad,10544,2910.5,6318.5,10544
SRX23724104,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724104.h5ad,9667,2680.0,5770.0,9667
SRX23724105,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724105.h5ad,10380,2591.0,5407.5,10380
SRX23724085,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724085.h5ad,4982,4008.0,13032.5,4982
SRX23724073,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724073.h5ad,24163,1818.0,3762.0,24163
SRX23802735,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802735.h5ad,23056,1518.5,2833.5,23056
SRX10048395,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048395.h5ad,8876,2410.0,4950.0,8876
SRX10048396,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048396.h5ad,3396,1072.0,1619.0,3396
SRX10048373,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048373.h5ad,13251,1647.0,3111.0,13251
SRX10048391,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048391.h5ad,23078,2329.0,3946.0,23078
SRX10048397,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048397.h5ad,2298,1287.5,1972.5,2298
SRX10048389,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048389.h5ad,10008,2367.5,4941.5,10008
SRX10100448,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10100448.h5ad,28784,3024.0,7278.5,28784
SRX9078407,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9078407.h5ad,2138,6333.5,29893.0,2138
SRX8353571,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8353571.h5ad,7433,3522.0,10183.0,7433
SRX8353568,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8353568.h5ad,6819,3875.0,13546.0,6819
