position,srx,status,r2_file,timestamp,error
173/801,SRX14891767,success,clustered_20260509/SRX14891767_clustered.h5ad,2026-05-09 22:25:09,
179/801,ERX4409913,success,clustered_20260509/ERX4409913_clustered.h5ad,2026-05-09 22:25:16,
174/801,SRX15263315,success,clustered_20260509/SRX15263315_clustered.h5ad,2026-05-09 22:25:30,
172/801,SRX16217002,success,clustered_20260509/SRX16217002_clustered.h5ad,2026-05-09 22:25:39,
175/801,SRX12868715,success,clustered_20260509/SRX12868715_clustered.h5ad,2026-05-09 22:25:39,
176/801,SRX12868717,success,clustered_20260509/SRX12868717_clustered.h5ad,2026-05-09 22:26:28,
180/801,SRX16217012,success,clustered_20260509/SRX16217012_clustered.h5ad,2026-05-09 22:27:31,
168/801,SRX18248064,success,clustered_20260509/SRX18248064_clustered.h5ad,2026-05-09 22:28:16,
186/801,SRX12868721,success,clustered_20260509/SRX12868721_clustered.h5ad,2026-05-09 22:28:32,
183/801,SRX16217007,success,clustered_20260509/SRX16217007_clustered.h5ad,2026-05-09 22:28:32,
187/801,SRX15263317,success,clustered_20260509/SRX15263317_clustered.h5ad,2026-05-09 22:28:36,
182/801,SRX16217003,success,clustered_20260509/SRX16217003_clustered.h5ad,2026-05-09 22:28:47,
181/801,SRX14891769,success,clustered_20260509/SRX14891769_clustered.h5ad,2026-05-09 22:29:16,
193/801,SRX19215444,success,clustered_20260509/SRX19215444_clustered.h5ad,2026-05-09 22:29:27,
184/801,SRX16217010,success,clustered_20260509/SRX16217010_clustered.h5ad,2026-05-09 22:29:32,
188/801,SRX12868712,success,clustered_20260509/SRX12868712_clustered.h5ad,2026-05-09 22:29:44,
185/801,SRX12868713,success,clustered_20260509/SRX12868713_clustered.h5ad,2026-05-09 22:29:55,
194/801,SRX19264641,success,clustered_20260509/SRX19264641_clustered.h5ad,2026-05-09 22:30:14,
191/801,SRX12868719,success,clustered_20260509/SRX12868719_clustered.h5ad,2026-05-09 22:30:25,
195/801,SRX19704127,success,clustered_20260509/SRX19704127_clustered.h5ad,2026-05-09 22:30:29,
196/801,SRX19704147,success,clustered_20260509/SRX19704147_clustered.h5ad,2026-05-09 22:30:33,
197/801,SRX19704149,success,clustered_20260509/SRX19704149_clustered.h5ad,2026-05-09 22:30:39,
178/801,SRX17137139,success,clustered_20260509/SRX17137139_clustered.h5ad,2026-05-09 22:30:53,
199/801,SRX19704128,success,clustered_20260509/SRX19704128_clustered.h5ad,2026-05-09 22:30:56,
190/801,SRX14891760,success,clustered_20260509/SRX14891760_clustered.h5ad,2026-05-09 22:31:01,
192/801,SRX14891762,success,clustered_20260509/SRX14891762_clustered.h5ad,2026-05-09 22:31:20,
198/801,SRX19704169,success,clustered_20260509/SRX19704169_clustered.h5ad,2026-05-09 22:31:25,
204/801,SRX19704166,success,clustered_20260509/SRX19704166_clustered.h5ad,2026-05-09 22:31:28,
200/801,SRX19704148,success,clustered_20260509/SRX19704148_clustered.h5ad,2026-05-09 22:31:41,
205/801,SRX19730968,success,clustered_20260509/SRX19730968_clustered.h5ad,2026-05-09 22:31:42,
207/801,SRX19704165,success,clustered_20260509/SRX19704165_clustered.h5ad,2026-05-09 22:32:46,
201/801,SRX19704188,success,clustered_20260509/SRX19704188_clustered.h5ad,2026-05-09 22:32:55,
211/801,SRX19730933,success,clustered_20260509/SRX19730933_clustered.h5ad,2026-05-09 22:32:58,
206/801,SRX19704139,success,clustered_20260509/SRX19704139_clustered.h5ad,2026-05-09 22:33:38,
208/801,SRX19704156,success,clustered_20260509/SRX19704156_clustered.h5ad,2026-05-09 22:33:52,
209/801,SRX19704157,success,clustered_20260509/SRX19704157_clustered.h5ad,2026-05-09 22:34:26,
214/801,SRX19704197,success,clustered_20260509/SRX19704197_clustered.h5ad,2026-05-09 22:34:34,
213/801,SRX19704160,success,clustered_20260509/SRX19704160_clustered.h5ad,2026-05-09 22:34:49,
210/801,SRX19704170,success,clustered_20260509/SRX19704170_clustered.h5ad,2026-05-09 22:35:00,
217/801,SRX19727434,success,clustered_20260509/SRX19727434_clustered.h5ad,2026-05-09 22:35:16,
202/801,SRX19704159,success,clustered_20260509/SRX19704159_clustered.h5ad,2026-05-09 22:35:26,
219/801,SRX19727435,success,clustered_20260509/SRX19727435_clustered.h5ad,2026-05-09 22:35:30,
203/801,SRX19704164,success,clustered_20260509/SRX19704164_clustered.h5ad,2026-05-09 22:35:51,
216/801,SRX19727425,success,clustered_20260509/SRX19727425_clustered.h5ad,2026-05-09 22:35:53,
218/801,SRX19727429,success,clustered_20260509/SRX19727429_clustered.h5ad,2026-05-09 22:36:06,
215/801,SRX19704162,success,clustered_20260509/SRX19704162_clustered.h5ad,2026-05-09 22:36:13,
223/801,SRX19727431,success,clustered_20260509/SRX19727431_clustered.h5ad,2026-05-09 22:36:15,
212/801,SRX19704142,success,clustered_20260509/SRX19704142_clustered.h5ad,2026-05-09 22:36:16,
225/801,SRX19727428,success,clustered_20260509/SRX19727428_clustered.h5ad,2026-05-09 22:36:37,
229/801,SRX19844846,success,clustered_20260509/SRX19844846_clustered.h5ad,2026-05-09 22:36:47,
220/801,SRX19730934,success,clustered_20260509/SRX19730934_clustered.h5ad,2026-05-09 22:37:09,
230/801,SRX19844825,success,clustered_20260509/SRX19844825_clustered.h5ad,2026-05-09 22:37:14,
221/801,SRX19704196,success,clustered_20260509/SRX19704196_clustered.h5ad,2026-05-09 22:37:14,
231/801,SRX19844838,success,clustered_20260509/SRX19844838_clustered.h5ad,2026-05-09 22:37:55,
222/801,SRX19704179,success,clustered_20260509/SRX19704179_clustered.h5ad,2026-05-09 22:37:57,
226/801,SRX19704171,success,clustered_20260509/SRX19704171_clustered.h5ad,2026-05-09 22:38:18,
233/801,SRX19844818,success,clustered_20260509/SRX19844818_clustered.h5ad,2026-05-09 22:38:34,
232/801,SRX19844819,success,clustered_20260509/SRX19844819_clustered.h5ad,2026-05-09 22:38:38,
227/801,SRX19704186,success,clustered_20260509/SRX19704186_clustered.h5ad,2026-05-09 22:39:01,
239/801,SRX19844835,success,clustered_20260509/SRX19844835_clustered.h5ad,2026-05-09 22:39:26,
235/801,SRX19844832,success,clustered_20260509/SRX19844832_clustered.h5ad,2026-05-09 22:39:53,
224/801,SRX19704180,success,clustered_20260509/SRX19704180_clustered.h5ad,2026-05-09 22:40:06,
240/801,SRX19844836,success,clustered_20260509/SRX19844836_clustered.h5ad,2026-05-09 22:40:32,
238/801,SRX19844837,success,clustered_20260509/SRX19844837_clustered.h5ad,2026-05-09 22:40:36,
243/801,SRX19886046,success,clustered_20260509/SRX19886046_clustered.h5ad,2026-05-09 22:40:55,
234/801,SRX19844821,success,clustered_20260509/SRX19844821_clustered.h5ad,2026-05-09 22:41:01,
236/801,SRX14891756,success,clustered_20260509/SRX14891756_clustered.h5ad,2026-05-09 22:41:11,
246/801,SRX19844848,success,clustered_20260509/SRX19844848_clustered.h5ad,2026-05-09 22:41:31,
228/801,SRX19704181,success,clustered_20260509/SRX19704181_clustered.h5ad,2026-05-09 22:41:35,
245/801,SRX19886027,success,clustered_20260509/SRX19886027_clustered.h5ad,2026-05-09 22:41:46,
241/801,SRX19844823,success,clustered_20260509/SRX19844823_clustered.h5ad,2026-05-09 22:41:59,
242/801,SRX19844822,success,clustered_20260509/SRX19844822_clustered.h5ad,2026-05-09 22:42:13,
250/801,SRX19886031,success,clustered_20260509/SRX19886031_clustered.h5ad,2026-05-09 22:42:50,
252/801,SRX19886029,success,clustered_20260509/SRX19886029_clustered.h5ad,2026-05-09 22:43:40,
251/801,SRX19886040,success,clustered_20260509/SRX19886040_clustered.h5ad,2026-05-09 22:43:47,
244/801,SRX19886045,success,clustered_20260509/SRX19886045_clustered.h5ad,2026-05-09 22:43:52,
248/801,SRX19886023,success,clustered_20260509/SRX19886023_clustered.h5ad,2026-05-09 22:44:07,
247/801,SRX19844828,success,clustered_20260509/SRX19844828_clustered.h5ad,2026-05-09 22:44:17,
249/801,SRX19886022,success,clustered_20260509/SRX19886022_clustered.h5ad,2026-05-09 22:44:28,
237/801,SRX19836244,success,clustered_20260509/SRX19836244_clustered.h5ad,2026-05-09 22:44:32,
253/801,SRX19886042,success,clustered_20260509/SRX19886042_clustered.h5ad,2026-05-09 22:44:32,
254/801,SRX19886039,success,clustered_20260509/SRX19886039_clustered.h5ad,2026-05-09 22:44:44,
259/801,SRX19844824,success,clustered_20260509/SRX19844824_clustered.h5ad,2026-05-09 22:44:54,
260/801,SRX19886049,success,clustered_20260509/SRX19886049_clustered.h5ad,2026-05-09 22:45:19,
255/801,SRX19886037,success,clustered_20260509/SRX19886037_clustered.h5ad,2026-05-09 22:45:19,
