gene,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,geneSymbol,biotype
ENSG00000267397,2,2,-1.2863914351275851,down,AC090229.1,lncRNA
ENSG00000267458,2,2,1.07232056738948,up,AC092069.1,lncRNA
ENSG00000267467,2,2,1.170485420025491,up,APOC4,protein_coding
ENSG00000267489,2,3,-1.609515624715433,down,LINC01837,lncRNA
ENSG00000267568,2,2,1.255016350744882,up,AC016168.2,lncRNA
ENSG00000267607,2,5,-1.2369921617065824,down,AC011511.5,lncRNA
ENSG00000267795,2,3,1.7980850715574082,up,SMIM22,protein_coding
ENSG00000268104,2,10,-1.5913566422555445,down,SLC6A14,protein_coding
ENSG00000268416,2,5,-1.597589774085011,down,AC010329.1,lncRNA
ENSG00000269124,2,6,-1.4963136905207848,down,AC007193.2,lncRNA
ENSG00000269959,2,3,-1.1942020387367644,down,SPACA6P-AS,lncRNA
ENSG00000270071,2,2,-1.360827877430888,down,AP001172.1,lncRNA
ENSG00000270164,2,2,1.718188221266032,up,LINC01480,lncRNA
ENSG00000270547,2,5,1.243923203461195,up,LINC01235,lncRNA
ENSG00000270571,2,2,1.5316429228317658,up,AC007681.1,lncRNA
ENSG00000271216,2,3,1.5460760939614193,up,LINC01050,lncRNA
ENSG00000271857,2,2,1.575276334946789,up,AL096865.1,lncRNA
ENSG00000271952,2,3,1.2583037829459316,up,LINC01954,lncRNA
ENSG00000272168,2,9,1.5654555662822844,up,CASC15,lncRNA
ENSG00000272282,2,2,1.2083174552845266,up,LINC02084,lncRNA
ENSG00000272398,2,16,1.8196684139639985,up,CD24,protein_coding
ENSG00000272512,2,4,-0.659784999741621,down,AL645608.7,lncRNA
ENSG00000272568,2,3,-1.3078506486679446,down,AC005162.3,lncRNA
ENSG00000272573,2,2,-0.3905528529548176,down,MUSTN1,protein_coding
ENSG00000272736,2,2,1.4885886547532283,up,AC005323.2,lncRNA
ENSG00000273079,2,2,1.2760292569296194,up,GRIN2B,protein_coding
ENSG00000273172,2,2,-1.2679551829623832,down,LINC02091,lncRNA
ENSG00000273320,2,2,-1.2502302974321071,down,AC007032.1,lncRNA
ENSG00000273348,2,2,-1.2284864376389493,down,AC027449.1,lncRNA
ENSG00000273415,2,2,1.9972820021882456,up,LINC02725,lncRNA
ENSG00000273445,2,2,1.5739785651997888,up,AC133644.2,lncRNA
ENSG00000273805,2,2,-1.3543548543225146,down,AC083805.3,lncRNA
ENSG00000274383,2,2,1.1365326246737495,up,AC103691.1,lncRNA
ENSG00000275342,2,1,1.24199551828144,up,PRAG1,protein_coding
ENSG00000275385,2,13,1.3939780783186577,up,CCL18,protein_coding
ENSG00000275395,2,5,1.7934495174445801,up,FCGBP,protein_coding
ENSG00000276023,2,3,1.221197735531413,up,DUSP14,protein_coding
ENSG00000276170,2,4,-0.6587877443992303,down,AC244153.1,lncRNA
ENSG00000276644,2,3,-1.2032354615948637,down,DACH1,protein_coding
ENSG00000277369,2,2,1.2758226834448203,up,AC010654.1,lncRNA
ENSG00000277631,2,2,-1.5117014143591008,down,PGM5P3-AS1,lncRNA
ENSG00000277639,2,5,1.4397493196942335,up,AC007906.2,protein_coding
ENSG00000277734,2,2,1.1421582384689937,up,TRAC,TR_C_gene
ENSG00000278057,2,4,-1.2502218300366368,down,TEX28,protein_coding
ENSG00000278158,2,2,1.8800889260108085,up,AP001059.3,lncRNA
ENSG00000278996,2,6,0.9614503961208024,up,FP671120.4,lncRNA
ENSG00000279082,2,3,1.2723503122838729,up,LINC01727,lncRNA
ENSG00000281131,2,4,0.7310043438569322,up,SCHLAP1,lncRNA
ENSG00000281852,2,8,-0.7459581760688392,down,LINC00891,lncRNA
ENSG00000282849,2,3,1.5482179883157032,up,AL359834.1,lncRNA
ENSG00000283199,2,3,-1.0742494165059837,down,C13orf46,protein_coding
ENSG00000283579,2,2,-1.3851006184804278,down,AL160035.1,lncRNA
ENSG00000284954,2,3,-0.2951927044596223,down,AL662884.3,lncRNA
ENSG00000285108,2,3,2.103708660436983,up,AC103718.1,lncRNA
ENSG00000285492,2,1,1.4271674783631063,up,AL356417.3,lncRNA
ENSG00000285552,2,2,1.4099682598910084,up,AC114977.1,lncRNA
ENSG00000285631,2,2,1.7203937455313136,up,AC097105.1,lncRNA
ENSG00000285744,2,3,-1.328004761730721,down,AC083837.1,lncRNA
ENSG00000285783,2,1,-1.1340576067639465,down,AC098588.3,lncRNA
ENSG00000285820,2,3,1.2153136821223756,up,AL157829.1,lncRNA
ENSG00000285847,2,3,-1.189830526276168,down,AL713852.1,lncRNA
ENSG00000285848,2,2,-1.3118657251691639,down,AC025280.3,lncRNA
ENSG00000285867,2,2,-1.1402441164849355,down,BX470102.2,lncRNA
ENSG00000285973,2,2,-1.2167749556894483,down,AC063960.2,lncRNA
ENSG00000286042,2,1,2.8889119650649184,up,LCAL1,lncRNA
ENSG00000286082,2,2,1.138661872841802,up,AL133493.1,lncRNA
ENSG00000286256,2,2,-1.1815808607892329,down,AC084871.3,lncRNA
ENSG00000286282,2,3,-1.380577164001183,down,AC021733.4,lncRNA
ENSG00000286313,2,2,1.4367440776219176,up,AL360178.1,lncRNA
ENSG00000286410,2,4,-1.1753182876511088,down,AC089985.1,lncRNA
ENSG00000286451,2,2,1.8632246244560218,up,AL499602.1,lncRNA
ENSG00000286494,2,10,-1.4699696783986052,down,AC022325.2,lncRNA
ENSG00000286521,2,2,-1.083218929809756,down,AC107881.1,lncRNA
ENSG00000286618,2,6,2.0368420606221336,up,AC131944.1,lncRNA
ENSG00000286685,2,2,1.4094131578769473,up,AL158077.2,lncRNA
ENSG00000286811,2,17,1.8730736308731561,up,AL353138.1,lncRNA
ENSG00000286854,2,2,-1.3070427141538585,down,AC079382.2,lncRNA
ENSG00000286887,2,3,-0.44312530443786335,down,AL355881.1,lncRNA
ENSG00000286974,2,4,-1.1931652226978255,down,AL662884.5,lncRNA
ENSG00000287012,2,2,-1.1524407014665945,down,AC108667.2,lncRNA
ENSG00000287124,2,2,-1.1257557029315248,down,AL512603.2,lncRNA
ENSG00000287271,2,2,-1.1505491988598489,down,AC011455.6,lncRNA
ENSG00000287293,2,2,-1.2098457492176384,down,AL357054.5,lncRNA
ENSG00000287335,2,3,1.1995090140865954,up,AL139351.3,lncRNA
ENSG00000287382,2,5,0.6922593599121327,up,AC110611.2,lncRNA
ENSG00000287426,2,1,-1.5834226593656073,down,AP003327.2,lncRNA
ENSG00000287691,2,2,-1.2169459321515683,down,AL031602.2,lncRNA
ENSG00000287907,2,4,-1.3147968097044498,down,AC005909.2,lncRNA
ENSG00000287970,2,2,1.3656003127841059,up,AC245164.2,lncRNA
ENSG00000287979,2,2,1.267535562780494,up,AC253572.2,lncRNA
ENSG00000288015,2,4,1.147606790186458,up,AL159156.1,lncRNA
ENSG00000288064,2,3,-0.7449088891613452,down,AC067945.4,lncRNA
