proposalClass,nCandidates,primaryCutoff,extendedCutoff,scoreMedian,scoreP90
clusterRestricted,7,0.48245614035087714,0.04824561403508771,0.5482456140350876,0.6754385964912281
oppositeDiseaseEffect,91,0.6888888888888889,0.6159722222222221,0.5083333333333334,0.6298611111111111
replicatedDiseaseDepletion,331,0.8354545454545454,0.7789393939393939,0.5222727272727272,0.7249999999999999
replicatedDiseaseGain,786,0.88,0.8377070063694269,0.539990774907749,0.7142993630573249
sharedDiseaseProgram,1494,0.9463942844384906,0.8901987050680956,0.49130386246930113,0.6648984148247375
