gene,geneSymbol,biotype,cluster,diseaseArea,log2FoldChange,padj,caseDetection,controlDetection,detectionDelta,nStudies,interpretedCellType,interpretationStatus,topSourceLabel,topSourceLabelFraction,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,direction
ENSG00000153721,CNKSR3,protein_coding,36,IPF / Pulmonary Fibrosis,1.1382769978615161,5.440417409116962e-19,0.3904050907531396,0.18797865898362665,0.20242643176951297,9,unresolved,unresolved,capillary endothelial cell,0.5106695796181501,33,0.8038046182210425,unresolved,basal cell,0.4132281553398058,2.2547171867361704,gain
ENSG00000185737,NRG3,protein_coding,14,Pulmonary Hypertension,4.215184537088932,0.006349156858058311,0.22196356547903018,0.01966264343501753,0.20230092204401265,2,unresolved,unresolved,adventitial cell,0.2762481434936593,59,0.35605784648476807,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965,3.133884473831772,gain
ENSG00000170365,SMAD1,protein_coding,36,Lung Cancer,1.087347416792666,4.048857093339564e-07,0.38406246079315376,0.18176578512773467,0.2022966756654191,5,unresolved,unresolved,capillary endothelial cell,0.5106695796181501,59,0.5885367735204168,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965,2.2547171867361704,gain
ENSG00000254560,BBOX1-AS1,lncRNA,20,Lung Cancer,2.470709860425225,0.033151322875900426,0.34797328473677014,0.14585536560594867,0.20211791913082147,5,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072,33,0.8465824781572875,unresolved,basal cell,0.4132281553398058,2.844452076992309,gain
ENSG00000122417,ODF2L,protein_coding,60,Lung Cancer,1.0887197552511754,5.874092622911438e-08,0.28984119923735197,0.0877515356787946,0.20208966355855737,5,unresolved,unresolved,pericyte,0.4226224591541113,44,0.9088179725292507,lung multiciliated epithelial cell,lung multiciliated epithelial cell,0.9470456921642318,2.561506464532918,gain
ENSG00000198648,STK39,protein_coding,8,Lung Cancer,1.3898245725923843,0.00046004913329491214,0.48864593482769003,0.2865660713103804,0.2020798635173096,5,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,23,0.7261640913132935,unresolved,basal cell,0.4718010254172575,2.672494945597188,gain
ENSG00000139289,PHLDA1,protein_coding,60,IPF / Pulmonary Fibrosis,1.1460255907824974,3.211182240071438e-10,0.32261580818232893,0.12055128532966561,0.20206452285266333,9,unresolved,unresolved,pericyte,0.4226224591541113,15,0.9327309236947792,unresolved,basal cell,0.9969879518072288,2.561506464532918,gain
ENSG00000144063,MALL,protein_coding,38,Lung Cancer,1.2555716332590134,0.03838440950298707,0.38245375751839744,0.18066150037208148,0.20179225714631596,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,70,0.9092970521541951,unresolved,pulmonary alveolar type 2 cell,0.9787946428571428,1.453044605741464,gain
ENSG00000065618,COL17A1,protein_coding,31,IPF / Pulmonary Fibrosis,1.7672134190736761,4.360940022262744e-10,0.35525030126050733,0.15348047377678076,0.20176982748372657,8,basal cell,resolved,basal cell,0.9368114823755128,15,0.9548192771084337,unresolved,basal cell,0.9969879518072288,0.532808354671482,gain
ENSG00000161055,SCGB3A1,protein_coding,59,IPF / Pulmonary Fibrosis,2.251439315220958,3.169729135513118e-08,0.3835703630046371,0.18198023605692473,0.20159012694771236,6,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965,57,1.0,unresolved,respiratory tract goblet cell,0.5,1.9065076941682848,gain
