gene,topCluster,tau,meanExprTop,meanDetectionTop,meanDetectionBackground,maxDetectionBackground,meanExprBackground,nStudiesAgreeTop,nStudiesScored,detectionDifference,geneSymbol,biotype,interpretedCellType,interpretationStatus,topLabel,topLabelFraction,labelEntropy,proposalClass,cluster,diseaseArea,evidenceScore,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,nCaseProfiles,nControlProfiles,nStudies,caseDetection,controlDetection,detectionDelta,topSourceLabel,topSourceLabelFraction,negLog10Padj,absLog2FoldChange,absDetectionDelta,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,absMeanLog2FoldChange,evidenceClass,nDiseaseAreasHit,diseaseAreas,minPadj,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,resolvedBonus,allEvidenceClasses,nEvidenceClasses,reviewTier,reviewRank,reviewPriority,studyDirectionAgreement,nStudiesAgree,nStudiesScoredAgreement
ENSG00000251003,,,,,,,,,,,ZFPM2-AS1,lncRNA,,,,,,sharedDiseaseProgram,,,0.9423755302522885,,,,,,,,,,,,,,,,,,3.0,9.0,1.9123393710638779,up,1.9123393710638779,,,,,,,,,,,,sharedDiseaseProgram,1,extended,21,medium,,,
ENSG00000164161,,,,,,,,,,,HHIP,protein_coding,,,,,,sharedDiseaseProgram,,,0.9349854878321052,,,,,,,,,,,,,,,,,,3.0,23.0,-1.7830262968386243,down,1.7830262968386243,,,,,,,,,,,,sharedDiseaseProgram,1,extended,22,medium,,,
ENSG00000101443,,,,,,,,,,,WFDC2,protein_coding,,,,,,sharedDiseaseProgram,,,0.9341817369948648,,,,,,,,,,,,,,,,,,3.0,6.0,1.9889864641212036,up,1.9889864641212036,,,,,,,,,,,,sharedDiseaseProgram,1,extended,23,medium,,,
ENSG00000163739,,,,,,,,,,,CXCL1,protein_coding,,,,,,sharedDiseaseProgram,,,0.9250502344273275,,,,,,,,,,,,,,,,,,3.0,4.0,-2.4551736454510174,down,2.4551736454510174,,,,,,,,,,,,sharedDiseaseProgram,1,extended,24,medium,,,
ENSG00000156234,,,,,,,,,,,CXCL13,protein_coding,,,,,,sharedDiseaseProgram,,,0.921924536726948,,,,,,,,,,,,,,,,,,3.0,4.0,2.3141410593707135,up,2.3141410593707135,,,,,,,,,,,,sharedDiseaseProgram,1,extended,25,medium,,,
ENSG00000138821,,,,,,,,,,,SLC39A8,protein_coding,,,,,,sharedDiseaseProgram,,,0.9139986604152712,,,,,,,,,,,,,,,,,,3.0,17.0,-1.6894483106329945,down,1.6894483106329945,,,,,,,,,,,,sharedDiseaseProgram,1,extended,26,medium,,,
ENSG00000163032,,,,,,,,,,,VSNL1,protein_coding,,,,,,sharedDiseaseProgram,,,0.9082161196695692,,,,,,,,,,,,,,,,,,3.0,9.0,1.72353462178188,up,1.72353462178188,,,,,,,,,,,,sharedDiseaseProgram,1,extended,27,medium,,,
ENSG00000183780,,,,,,,,,,,SLC35F3,protein_coding,,,,,,sharedDiseaseProgram,,,0.8983924983255189,,,,,,,,,,,,,,,,,,3.0,5.0,1.7971836865751967,up,1.7971836865751967,,,,,,,,,,,,sharedDiseaseProgram,1,extended,28,medium,,,
ENSG00000089127,,,,,,,,,,,OAS1,protein_coding,,,,,,sharedDiseaseProgram,,,0.8901987050680956,,,,,,,,,,,,,,,,,,3.0,7.0,1.6827763433974412,up,1.6827763433974412,,,,,,,,,,,,sharedDiseaseProgram,1,extended,29,medium,,,
ENSG00000133110,,,,,,,,,,,POSTN,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,14,Lung Cancer,0.8537579617834394,1247.8884767572245,3.530273037586668,0.37231145256684406,9.482042556702845,2.493535309878565e-21,1.2272557411394828e-17,41.0,25.0,5.0,0.5015888961381442,0.1197289572097859,0.3818599389283583,adventitial cell,0.2762481434936593,16.911064927580618,3.530273037586668,0.3818599389283583,,,,,,,,,,,,,,,,,"replicatedDiseaseGain,unexpectedExpression",2,extended,30,medium,4/5,4,5
ENSG00000123500,,,,,,,,,,,COL10A1,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,14,Lung Cancer,0.8325477707006369,144.6563299294042,4.031787694510827,0.34107595641318117,11.82079128915994,3.0479994397423395e-32,6.000596497020743e-28,41.0,25.0,5.0,0.31517557802752205,0.06116901603379398,0.25400656199372806,adventitial cell,0.2762481434936593,27.22180557586831,4.031787694510827,0.25400656199372806,,,,,,,,,,,,,,,,,replicatedDiseaseGain,1,extended,31,medium,4/5,4,5
ENSG00000143248,,,,,,,,,,,RGS5,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,60,Lung Cancer,0.8064331210191084,1069.9162854680014,2.207675045986789,0.2579596953863414,8.558216983007346,1.1462647217019996e-17,9.963332961033781e-14,41.0,20.0,5.0,0.6185118141369957,0.26445599776838297,0.3540558163686128,pericyte,0.4226224591541113,13.00159535590865,2.207675045986789,0.3540558163686128,,,,,,,,,,,,,,,,,"replicatedDiseaseGain,unexpectedExpression",2,extended,32,medium,5/5,5,5
ENSG00000181458,,,,,,,,,,,TMEM45A,protein_coding,respiratory tract goblet cell,resolved,,,,replicatedDiseaseGain,45,Cystic Fibrosis,0.7977464417501319,,3.1869037835106795,,,,0.001573088710464486,,,2.0,0.6327178350348552,0.19800675897908682,0.4347110760557684,respiratory tract goblet cell,0.8534097573980272,2.803246785718169,3.1869037835106795,0.4347110760557684,,,,gain,,,,,,57,0.5,unresolved,respiratory tract goblet cell,0.5,0.9397563624623004,1.0,"replicatedDiseaseGain,unexpectedExpression",2,extended,33,medium,2/2,2,2
ENSG00000168542,,,,,,,,,,,COL3A1,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,60,Lung Cancer,0.7927388535031847,571.1104975873826,2.0644598163479793,0.25946546328362574,7.956588095469516,1.7684822967887104e-15,6.9885787336677415e-12,41.0,20.0,5.0,0.61445176392379,0.24660626314127812,0.3678455007825119,pericyte,0.4226224591541113,11.155611137685792,2.0644598163479793,0.3678455007825119,,,,,,,,,,,,,,,,,"replicatedDiseaseGain,unexpectedExpression",2,extended,34,medium,5/5,5,5
ENSG00000146070,,,,,,,,,,,PLA2G7,protein_coding,macrophage,resolved,,,,replicatedDiseaseGain,26,Lung Cancer,0.7744464944649447,,1.7636656821554169,,,,1.5056519778287901e-07,,,5.0,0.49244673713534565,0.20751108954555517,0.2849356475897905,macrophage,0.798202097552855,6.822275401027221,1.7636656821554169,0.2849356475897905,,,,gain,,,,,,10,0.3727632168083184,macrophage,macrophage,0.9465301035906224,1.289100572647915,1.0,"replicatedDiseaseGain,unexpectedExpression",2,extended,35,medium,5/5,5,5
