gene,topCluster,tau,meanExprTop,meanDetectionTop,meanDetectionBackground,maxDetectionBackground,meanExprBackground,nStudiesAgreeTop,nStudiesScored,detectionDifference,geneSymbol,biotype,interpretedCellType,interpretationStatus,topLabel,topLabelFraction,labelEntropy
ENSG00000132872,32,0.9932582627868372,1.9702169701558387,0.22402223570619678,0.0010430503628086202,0.035509251775047046,0.013282685065704528,16,93,0.22297918534338818,SYT4,protein_coding,unresolved,unresolved,basal cell,0.2826359084406294,2.5831489900751685
ENSG00000179292,32,0.9854526085877294,1.1982181195503416,0.2010305764856326,0.0022147480114988213,0.034482758620689655,0.017430947982373712,18,93,0.1988158284741338,TMEM151A,protein_coding,unresolved,unresolved,basal cell,0.2826359084406294,2.5831489900751685
ENSG00000248300,32,0.9833489170738579,1.7568057945353293,0.2131848979775323,0.0018146566932825529,0.01360042052086913,0.029252718969934872,17,93,0.21137024128424975,LINC02360,lncRNA,unresolved,unresolved,basal cell,0.2826359084406294,2.5831489900751685
ENSG00000112214,60,0.9778300289815872,2.0171349516722117,0.20407792604376476,0.002571550139351701,0.04,0.04471982341880043,43,93,0.20150637590441306,FHL5,protein_coding,unresolved,unresolved,pericyte,0.4226224591541113,2.561506464532918
ENSG00000180440,32,0.967581143936001,1.7523793558495584,0.2557790296170214,0.0028534456060206924,0.04907658949738272,0.05681013410680994,14,93,0.25292558401100074,SERTM1,protein_coding,unresolved,unresolved,basal cell,0.2826359084406294,2.5831489900751685
ENSG00000188175,52,0.9669354451866438,1.553228328726955,0.20648441740162984,0.0030953961634470296,0.02197802197802198,0.05135680321285013,39,93,0.2033890212381828,HEPACAM2,protein_coding,unresolved,unresolved,B cell,0.1982726687852143,3.4002950310585907
ENSG00000233005,32,0.8920615286929306,1.8438145056215256,0.20311226376657024,0.009156468173303123,0.047619047619047616,0.19901851911058696,14,93,0.19395579559326712,AC018742.1,lncRNA,unresolved,unresolved,basal cell,0.2826359084406294,2.5831489900751685
