accession,r2Key,status,reason,studyAccession
ERX11876755,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876755.h5ad,success,,PRJEB71931
ERX11876754,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876754.h5ad,success,,PRJEB71931
ERX11876753,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876753.h5ad,success,,PRJEB71931
ERX11876769,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876769.h5ad,success,,PRJEB71931
ERX11876768,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876768.h5ad,success,,PRJEB71931
ERX11876758,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876758.h5ad,success,,PRJEB71931
ERX11876751,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876751.h5ad,success,,PRJEB71931
ERX11876765,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876765.h5ad,success,,PRJEB71931
SRX26487574,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487574.h5ad,success,,PRJNA1177414
ERX11876770,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876770.h5ad,success,,PRJEB71931
SRX22996343,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996343.h5ad,success,,PRJNA1055415
SRX20407496,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407496.h5ad,success,,PRJNA973717
ERX11876748,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876748.h5ad,success,,PRJEB71931
