position,srx,status,input_r2_file,output_r2_file,timestamp,duration_seconds,error
73/116,SRX24732577,success,designated_clustering_2/SRX24732577_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX24732577_annotated.h5ad,2026-05-24 06:15:31,1034.40,
74/116,SRX17412812,success,designated_clustering_2/SRX17412812_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412812_annotated.h5ad,2026-05-24 06:46:23,1086.07,
75/116,SRX25038170,success,designated_clustering_2/SRX25038170_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX25038170_annotated.h5ad,2026-05-24 07:23:02,1485.44,
76/116,SRX17896691,success,designated_clustering_2/SRX17896691_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17896691_annotated.h5ad,2026-05-24 07:45:55,1057.76,
77/116,SRX9276318,success,designated_clustering_2/SRX9276318_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276318_annotated.h5ad,2026-05-24 08:11:59,821.98,
78/116,SRX9276290,success,designated_clustering_2/SRX9276290_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276290_annotated.h5ad,2026-05-24 08:50:00,1302.59,
79/116,SRX19844838,success,designated_clustering_2/SRX19844838_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844838_annotated.h5ad,2026-05-24 09:19:14,1257.08,
80/116,SRX9276294,success,designated_clustering_2/SRX9276294_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276294_annotated.h5ad,2026-05-24 09:47:28,1151.20,
81/116,SRX19844836,success,designated_clustering_2/SRX19844836_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844836_annotated.h5ad,2026-05-24 10:20:42,1344.84,
82/116,SRX9276292,success,designated_clustering_2/SRX9276292_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276292_annotated.h5ad,2026-05-24 10:50:04,1307.43,
83/116,SRX19844818,success,designated_clustering_2/SRX19844818_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844818_annotated.h5ad,2026-05-24 11:19:55,1298.10,
84/116,SRX9276316,success,designated_clustering_2/SRX9276316_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276316_annotated.h5ad,2026-05-24 11:49:44,1286.51,
85/116,SRX9276315,success,designated_clustering_2/SRX9276315_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276315_annotated.h5ad,2026-05-24 12:18:19,1201.61,
86/116,SRX9276289,success,designated_clustering_2/SRX9276289_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276289_annotated.h5ad,2026-05-24 12:45:12,1014.90,
87/116,SRX19844819,success,designated_clustering_2/SRX19844819_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844819_annotated.h5ad,2026-05-24 13:20:11,1313.68,
88/116,SRX9276319,success,designated_clustering_2/SRX9276319_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276319_annotated.h5ad,2026-05-24 13:48:25,1208.46,
89/116,SRX9276320,success,designated_clustering_2/SRX9276320_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276320_annotated.h5ad,2026-05-24 14:18:48,1231.20,
90/116,SRX19844837,success,designated_clustering_2/SRX19844837_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844837_annotated.h5ad,2026-05-24 14:51:14,1377.02,
91/116,SRX9276293,success,designated_clustering_2/SRX9276293_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276293_annotated.h5ad,2026-05-24 15:16:48,1111.35,
92/116,SRX19844839,success,designated_clustering_2/SRX19844839_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844839_annotated.h5ad,2026-05-24 15:48:50,1232.87,
93/116,SRX9276295,success,designated_clustering_2/SRX9276295_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276295_annotated.h5ad,2026-05-24 16:23:03,1486.29,
94/116,SRX9276291,success,designated_clustering_2/SRX9276291_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276291_annotated.h5ad,2026-05-24 16:52:46,1468.70,
95/116,SRX19704194,success,designated_clustering_2/SRX19704194_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19704194_annotated.h5ad,2026-05-24 17:22:14,1437.16,
96/116,SRX17664572,success,designated_clustering_2/SRX17664572_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17664572_annotated.h5ad,2026-05-24 17:53:39,1522.23,
97/116,SRX8349966,success,designated_clustering_2/SRX8349966_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8349966_annotated.h5ad,2026-05-24 18:15:26,1028.78,
98/116,SRX9246205,success,designated_clustering_2/SRX9246205_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246205_annotated.h5ad,2026-05-24 18:44:36,979.46,
99/116,SRX14767855,success,designated_clustering_2/SRX14767855_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX14767855_annotated.h5ad,2026-05-24 19:21:03,1365.88,
