position,srx,status,gs_uri,r2_key,md5,timestamp,error
1/801,ERX11662371,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662371.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662371.h5ad,TaTCyNCq9FFh3r8HN94nyg==,2026-05-06 16:58:39,
2/801,SRX19233503,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233503.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233503.h5ad,LLHbGX1f3QN6pdpV8E5S4g==,2026-05-06 16:58:47,
3/801,ERX11662373,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662373.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662373.h5ad,X3S+dPP2UTkuYwwQRBl51A==,2026-05-06 16:58:56,
4/801,ERX11662385,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662385.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662385.h5ad,hxTndfRdpi2UFxAbC/tqyQ==,2026-05-06 16:59:07,
5/801,ERX11662357,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662357.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662357.h5ad,8s8R41Hlq9tZFzzL9ACWsg==,2026-05-06 16:59:24,
6/801,ERX11662360,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662360.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662360.h5ad,Ig5YVtKtuYQ4XvV0BLVAoQ==,2026-05-06 16:59:45,
7/801,ERX11662364,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662364.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662364.h5ad,MVkag7Msq0D11pMmwsZ/mg==,2026-05-06 17:00:11,
8/801,ERX11662370,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662370.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662370.h5ad,Xdjod2vRqAyrv/3bMXyGqQ==,2026-05-06 17:00:22,
9/801,ERX11662369,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662369.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662369.h5ad,wGn0BZbpZsUZWbRt2ic/2w==,2026-05-06 17:00:35,
10/801,ERX11662367,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662367.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662367.h5ad,l2NQb+gb6Rf8zwCvseb4lg==,2026-05-06 17:00:56,
11/801,ERX11662377,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662377.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662377.h5ad,/ymMPbmGPW7GdI3gdVwstg==,2026-05-06 17:01:22,
12/801,ERX11662378,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662378.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662378.h5ad,aQWY3UphVz53wyhcisY9Lg==,2026-05-06 17:01:46,
13/801,ERX8831394,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831394.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831394.h5ad,hMmle5PjC/HD1FPbr2fNww==,2026-05-06 17:01:57,
14/801,ERX8831397,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831397.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831397.h5ad,1wO3yhLhhzdKoBbd/ElhOg==,2026-05-06 17:02:11,
15/801,SRX20098024,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20098024.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20098024.h5ad,5zelZjvZj9thzqR4zHqN6w==,2026-05-06 17:02:26,
16/801,SRX22613097,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613097.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613097.h5ad,g8E1FJTqu6ZXIG1NwYPLXQ==,2026-05-06 17:02:37,
17/801,SRX19233504,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233504.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233504.h5ad,muIqZKZiOBmFmcaZ+9R3Aw==,2026-05-06 17:02:44,
18/801,ERX11662376,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662376.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662376.h5ad,8Ww8T5voJ9DAA5paUqub+A==,2026-05-06 17:02:56,
19/801,ERX11662375,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662375.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662375.h5ad,Q2Nj0HWkkWq42D2xv8vSeA==,2026-05-06 17:03:06,
