position,srx,status,gs_uri,r2_key,md5,timestamp,error
871/1048,ERX12558782,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558782.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558782.h5ad,Dh+UmKei0f+7pmkMyw74eQ==,2026-07-30 16:46:16,
872/1048,ERX9138787,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138787.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138787.h5ad,HWMe7tF8at1ZM+n4rWCRew==,2026-07-30 16:46:18,
873/1048,ERX12558795,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558795.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558795.h5ad,KTcRNqSOX5Km5M/sAntGQg==,2026-07-30 16:46:19,
874/1048,ERX9138805,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138805.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138805.h5ad,yiH0vlwwvdQ2t8FbhmaDCQ==,2026-07-30 16:46:22,
875/1048,ERX9138738,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138738.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138738.h5ad,G7H+w7vF2Sq1+z71wP33XQ==,2026-07-30 16:46:24,
876/1048,SRX5329388,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329388.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329388.h5ad,Oi/+WeTSNuvAtcC1KqusrA==,2026-07-30 16:46:30,
877/1048,ERX12558776,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558776.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558776.h5ad,vpK+CExwTPSPC3sSjVBFRg==,2026-07-30 16:46:32,
878/1048,ERX9138871,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138871.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138871.h5ad,MlnkCtSELWxsdDb/8Zz0OQ==,2026-07-30 16:46:37,
879/1048,ERX9138867,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138867.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138867.h5ad,FH0I6iymhceyERYuefsmuA==,2026-07-30 16:46:42,
880/1048,SRX11169657,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11169657.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11169657.h5ad,POcOyuvTrCGEnrzFhRN4sQ==,2026-07-30 16:46:54,
881/1048,ERX12558793,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558793.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558793.h5ad,8pi1kd2dbJfgScMIB33TXw==,2026-07-30 16:46:56,
882/1048,ERX9138888,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138888.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138888.h5ad,4QKVixiPj5FTgJGW4SHtpQ==,2026-07-30 16:46:58,
883/1048,ERX9138869,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138869.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138869.h5ad,vcWqhdxnSKM/Ba2B1MVgeA==,2026-07-30 16:47:07,
884/1048,ERX9138862,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138862.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138862.h5ad,Jn7ZkrUuDBfm0I7pyRh95w==,2026-07-30 16:47:09,
885/1048,ERX9138845,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138845.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138845.h5ad,x2f2KpEV0mQfnjq+kjoK3w==,2026-07-30 16:47:17,
886/1048,ERX9138808,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138808.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138808.h5ad,1VikLCph0Uh9AqDnw93cuw==,2026-07-30 16:47:21,
887/1048,ERX12558773,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558773.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558773.h5ad,5IFlkgNFafk66+SUBD+EIg==,2026-07-30 16:47:24,
888/1048,ERX12558765,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558765.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558765.h5ad,85pt19WATtd0y4FpjQwcZQ==,2026-07-30 16:47:30,
889/1048,ERX9138798,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138798.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138798.h5ad,ZR7g4EmJHdH7zaW99l8orQ==,2026-07-30 16:47:35,
890/1048,ERX9138761,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138761.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138761.h5ad,W/UgAMcJKwsEP2hJv+EFdA==,2026-07-30 16:47:41,
891/1048,SRX7347526,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347526.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347526.h5ad,RoPxXBX3+47o8RxTv1t33Q==,2026-07-30 16:47:47,
892/1048,ERX12558780,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558780.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558780.h5ad,zsz9ydJbWXmMfCNDa01+bA==,2026-07-30 16:47:49,
893/1048,SRX5329391,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329391.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329391.h5ad,8yIxXJZSYSdWzXzV8lg0Nw==,2026-07-30 16:47:53,
894/1048,SRX7347533,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347533.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347533.h5ad,9k+Pb3gQLJ1TMSupDD+JWA==,2026-07-30 16:48:01,
895/1048,ERX9138903,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138903.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138903.h5ad,bkpUYMufxNGpuyawA9ZkEg==,2026-07-30 16:48:03,
896/1048,ERX9138803,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138803.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138803.h5ad,iMJHhHn+lRuzntI5Jh64Rg==,2026-07-30 16:48:09,
897/1048,ERX9138847,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138847.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138847.h5ad,OAshpcNKBiYQQhEirRNbjA==,2026-07-30 16:48:20,
