srx,B cell,plasma cell,"CD4-positive, alpha-beta T cell",pericyte,capillary endothelial cell,basal cell,macrophage,lung multiciliated epithelial cell,intermediate monocyte,respiratory tract goblet cell,adventitial cell,classical monocyte,club cell,"CD8-positive, alpha-beta T cell",vein endothelial cell,pulmonary alveolar type 2 cell,mature NK T cell,neutrophil,basophil,pulmonary alveolar type 1 cell,alveolar adventitial fibroblast,natural killer cell,endothelial cell of artery
SRX12366723,0.597646564725108,0.6111187954685429,0.8426506990290943,0.0,0.7995309441296946,0.9709505944546688,,,,,,,,,,,,,,,,,
SRX17412841,0.7149192015016117,0.8980081128094408,0.19480796285129728,,,0.5759220770567288,0.7497931933499085,0.2017280490215057,0.6250688192574774,0.694545572760834,0.0,0.4803174827147386,0.1292337748458849,0.0,0.24988229283318544,0.7219280948873623,,,,,,,
SRX13198730,0.743267782804802,0.9055620657066047,0.3627761807409954,0.6859752582678584,0.7193401895075694,0.6950462554861566,0.648594439935149,0.2533140895069355,0.6360309806170096,0.6339658227603625,0.225512521575645,0.5955260325539306,0.1466332742123284,0.2542099524623716,,0.8742612397515298,0.2875965590943589,0.0,0.07748681069642112,0.2521079810389514,0.33464897597846643,0.2580186686648155,0.40145000261284725
