srxAccession,studyAccession,diseaseRaw,diseaseArea,isControl,eligible,excludeReason
SRX9276293,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276294,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276295,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276302,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276303,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276304,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276306,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276308,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276309,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276315,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276316,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276318,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276319,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276320,PRJNA668609,SSc-ILD Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276322,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276323,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276324,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276325,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276326,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276332,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276333,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276334,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276335,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9276336,PRJNA668609,IPF Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX9296012,PRJNA669984,Identification of required host factors for SARS-CoV-2 infection in human cells [ECCITE-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX9296013,PRJNA669984,Identification of required host factors for SARS-CoV-2 infection in human cells [ECCITE-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX9296018,PRJNA669984,Identification of required host factors for SARS-CoV-2 infection in human cells [ECCITE-seq],COVID-19 / SARS-CoV-2,False,False,excluded_sample_type
SRX9430527,PRJNA674516,Single cell RNAseq of lung transplant recipient,Other,False,False,unmapped_disease
SRX9495616,PRJNA677962,"Single-cell lineages reveal the rates, routes, and drivers of metastasis in cancer xenografts",Other,False,False,excluded_sample_type
SRX9768485,PRJNA689219,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,Lung Cancer,False,True,
SRX9768488,PRJNA689219,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,Lung Cancer,False,True,
SRX9927818,PRJNA694436,Targeting TREM2 on tumor associated macrophages enhances efficacious immunotherapy,Other,False,False,unmapped_disease
