cluster,diseaseArea,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,nCaseProfiles,nControlProfiles,nStudies
1,Lung Cancer,5.133157719492542,1.0521256805791093,0.2876902627292543,3.657147345196268,0.0002550377892615728,0.04755517051653922,ENSG00000162777,16,14,3
1,Lung Cancer,13.138236757941394,1.105258517765392,0.28285396811118413,3.9075234657161944,9.324698775933703e-05,0.025176686695021,ENSG00000116741,16,14,3
1,Lung Cancer,14.529111160848606,1.3110508550120858,0.32054276056895625,4.090096599545721,4.3119356321415494e-05,0.025176686695021,ENSG00000115970,16,14,3
1,Lung Cancer,12.80136394175352,3.4948026679473334,0.8656753326560663,4.037082421217403,5.412005902980782e-05,0.025176686695021,ENSG00000211592,16,14,3
1,Lung Cancer,10.523311413801139,1.6695294226780273,0.4265254343488809,3.9142552547345124,9.068366579418622e-05,0.025176686695021,ENSG00000115896,16,14,3
1,Lung Cancer,7.857242558929864,1.429400712667693,0.38668433912450556,3.6965570312570923,0.0002185431817046449,0.04484506088579313,ENSG00000181847,16,14,3
1,Lung Cancer,4.424385459719163,1.448414433215612,0.36433083628107715,3.9755471922178347,7.021761733886108e-05,0.025176686695021,ENSG00000138640,16,14,3
1,Lung Cancer,82.46104044591192,1.9820300004900198,0.5014324299350237,3.9527359663331985,7.726267601099571e-05,0.025176686695021,ENSG00000204388,16,14,3
1,Lung Cancer,3.6277796547574512,2.8319649234494055,0.6914885328885907,4.095461875006506,4.213275613926072e-05,0.025176686695021,ENSG00000003147,16,14,3
1,Lung Cancer,17.513234715803474,1.0799095774337488,0.2969188071747997,3.6370534682836486,0.0002757747015378303,0.0481940243783203,ENSG00000106211,16,14,3
1,Lung Cancer,3.9016476530675024,1.3136334131790375,0.3020514969440513,4.3490379172739555,1.3673607151316036e-05,0.020940655139074348,ENSG00000146776,16,14,3
1,Lung Cancer,21.55861183958068,1.3647759767776646,0.31005558228010066,4.401713933809266,1.073990994750947e-05,0.020940655139074348,ENSG00000198846,16,14,3
1,Lung Cancer,9.219045471746846,-3.270505616563063,0.8207702815931793,-3.984678405040148,6.757157500101598e-05,0.025176686695021,ENSG00000211797,16,14,3
1,Lung Cancer,3.4212776484352205,1.1046455147499548,0.3041887917070519,3.6314471304182057,0.00028183639987321813,0.0481940243783203,ENSG00000205544,16,14,3
1,Lung Cancer,4.955195368852372,2.0377041288052027,0.3784912473157237,5.383754956704253,7.294779731111812e-08,0.00037422220020603595,ENSG00000089012,16,14,3
1,Lung Cancer,17.847393205880383,1.6247219646508941,0.3991995686447985,4.069949199009646,4.702339035590507e-05,0.025176686695021,ENSG00000165591,16,14,3
36,IPF / Pulmonary Fibrosis,2.090060917228541,2.074271491784573,0.6066312671260696,3.419328353468301,0.0006277592422122198,0.017999847930358182,ENSG00000179403,34,42,4
36,IPF / Pulmonary Fibrosis,9.311542149903268,1.0764205849681658,0.2986226651196991,3.6046178361468186,0.0003126125896361304,0.011342819764698607,ENSG00000142798,34,42,4
36,IPF / Pulmonary Fibrosis,2.5042356094423406,1.153777784038955,0.3696157940162974,3.121559745869738,0.0017989574095106156,0.03559518722491315,ENSG00000117632,34,42,4
36,IPF / Pulmonary Fibrosis,80.26560182842755,-1.5205447375717134,0.33838463927699064,-4.493539484595354,7.004902598641562e-06,0.0007624966199039834,ENSG00000142748,34,42,4
36,IPF / Pulmonary Fibrosis,6.698952140964953,1.591107877150857,0.3823946383206864,4.160905299661946,3.1698851956516816e-05,0.0021510704087778698,ENSG00000175130,34,42,4
36,IPF / Pulmonary Fibrosis,1.883695840536278,1.4045788972806805,0.4405730959080848,3.1880723319830517,0.0014322470391619588,0.03122583343080129,ENSG00000116717,34,42,4
