srxAccession,cluster,nClusterCells,studyAccession,diseaseArea,diseased,nCells,proportion
ERX11662338,0,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,1,48,PRJEB68315,Lung Cancer,False,154,0.3116883116883117
ERX11662338,13,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,17,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,20,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,24,10,PRJEB68315,Lung Cancer,False,154,0.06493506493506493
ERX11662338,26,5,PRJEB68315,Lung Cancer,False,154,0.032467532467532464
ERX11662338,34,4,PRJEB68315,Lung Cancer,False,154,0.025974025974025976
ERX11662338,4,16,PRJEB68315,Lung Cancer,False,154,0.1038961038961039
ERX11662338,43,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,44,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,5,7,PRJEB68315,Lung Cancer,False,154,0.045454545454545456
ERX11662338,6,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,8,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,9,50,PRJEB68315,Lung Cancer,False,154,0.3246753246753247
ERX11662359,0,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,1,65,PRJEB68315,Lung Cancer,False,350,0.18571428571428572
ERX11662359,13,5,PRJEB68315,Lung Cancer,False,350,0.014285714285714285
ERX11662359,20,8,PRJEB68315,Lung Cancer,False,350,0.022857142857142857
ERX11662359,21,4,PRJEB68315,Lung Cancer,False,350,0.011428571428571429
ERX11662359,24,23,PRJEB68315,Lung Cancer,False,350,0.06571428571428571
ERX11662359,26,41,PRJEB68315,Lung Cancer,False,350,0.11714285714285715
ERX11662359,3,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,34,24,PRJEB68315,Lung Cancer,False,350,0.06857142857142857
ERX11662359,36,8,PRJEB68315,Lung Cancer,False,350,0.022857142857142857
ERX11662359,38,2,PRJEB68315,Lung Cancer,False,350,0.005714285714285714
ERX11662359,4,20,PRJEB68315,Lung Cancer,False,350,0.05714285714285714
ERX11662359,43,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,44,7,PRJEB68315,Lung Cancer,False,350,0.02
ERX11662359,45,2,PRJEB68315,Lung Cancer,False,350,0.005714285714285714
ERX11662359,5,11,PRJEB68315,Lung Cancer,False,350,0.03142857142857143
ERX11662359,59,3,PRJEB68315,Lung Cancer,False,350,0.008571428571428572
ERX11662359,6,6,PRJEB68315,Lung Cancer,False,350,0.017142857142857144
ERX11662359,7,7,PRJEB68315,Lung Cancer,False,350,0.02
ERX11662359,8,19,PRJEB68315,Lung Cancer,False,350,0.054285714285714284
ERX11662359,9,92,PRJEB68315,Lung Cancer,False,350,0.26285714285714284
ERX11662361,0,1,PRJEB68315,Lung Cancer,False,59,0.01694915254237288
ERX11662361,1,14,PRJEB68315,Lung Cancer,False,59,0.23728813559322035
ERX11662361,24,5,PRJEB68315,Lung Cancer,False,59,0.0847457627118644
ERX11662361,34,11,PRJEB68315,Lung Cancer,False,59,0.1864406779661017
ERX11662361,4,23,PRJEB68315,Lung Cancer,False,59,0.3898305084745763
ERX11662361,5,2,PRJEB68315,Lung Cancer,False,59,0.03389830508474576
ERX11662361,6,3,PRJEB68315,Lung Cancer,False,59,0.05084745762711865
ERX11662362,0,38,PRJEB68315,Lung Cancer,True,404,0.09405940594059406
ERX11662362,1,114,PRJEB68315,Lung Cancer,True,404,0.28217821782178215
ERX11662362,13,3,PRJEB68315,Lung Cancer,True,404,0.007425742574257425
ERX11662362,24,15,PRJEB68315,Lung Cancer,True,404,0.03712871287128713
ERX11662362,26,11,PRJEB68315,Lung Cancer,True,404,0.027227722772277228
ERX11662362,34,13,PRJEB68315,Lung Cancer,True,404,0.03217821782178218
ERX11662362,4,24,PRJEB68315,Lung Cancer,True,404,0.0594059405940594
ERX11662362,5,62,PRJEB68315,Lung Cancer,True,404,0.15346534653465346
ERX11662362,6,124,PRJEB68315,Lung Cancer,True,404,0.3069306930693069
ERX11662366,0,9,PRJEB68315,Lung Cancer,True,233,0.03862660944206009
ERX11662366,1,65,PRJEB68315,Lung Cancer,True,233,0.27896995708154504
ERX11662366,13,3,PRJEB68315,Lung Cancer,True,233,0.012875536480686695
ERX11662366,21,1,PRJEB68315,Lung Cancer,True,233,0.004291845493562232
ERX11662366,24,29,PRJEB68315,Lung Cancer,True,233,0.12446351931330472
ERX11662366,26,8,PRJEB68315,Lung Cancer,True,233,0.034334763948497854
ERX11662366,3,6,PRJEB68315,Lung Cancer,True,233,0.02575107296137339
ERX11662366,34,13,PRJEB68315,Lung Cancer,True,233,0.055793991416309016
ERX11662366,4,11,PRJEB68315,Lung Cancer,True,233,0.04721030042918455
ERX11662366,5,14,PRJEB68315,Lung Cancer,True,233,0.060085836909871244
ERX11662366,6,72,PRJEB68315,Lung Cancer,True,233,0.3090128755364807
ERX11662366,9,2,PRJEB68315,Lung Cancer,True,233,0.008583690987124463
ERX11662371,1,3,PRJEB68315,Lung Cancer,True,29,0.10344827586206896
ERX11662371,21,2,PRJEB68315,Lung Cancer,True,29,0.06896551724137931
ERX11662371,24,1,PRJEB68315,Lung Cancer,True,29,0.034482758620689655
ERX11662371,34,2,PRJEB68315,Lung Cancer,True,29,0.06896551724137931
ERX11662371,4,11,PRJEB68315,Lung Cancer,True,29,0.3793103448275862
ERX11662371,43,4,PRJEB68315,Lung Cancer,True,29,0.13793103448275862
ERX11662371,59,1,PRJEB68315,Lung Cancer,True,29,0.034482758620689655
ERX11662371,8,4,PRJEB68315,Lung Cancer,True,29,0.13793103448275862
ERX11662371,9,1,PRJEB68315,Lung Cancer,True,29,0.034482758620689655
ERX11662373,1,2,PRJEB68315,Lung Cancer,False,30,0.06666666666666667
ERX11662373,24,4,PRJEB68315,Lung Cancer,False,30,0.13333333333333333
ERX11662373,34,15,PRJEB68315,Lung Cancer,False,30,0.5
ERX11662373,4,7,PRJEB68315,Lung Cancer,False,30,0.23333333333333334
ERX11662373,6,2,PRJEB68315,Lung Cancer,False,30,0.06666666666666667
ERX11662375,1,2,PRJEB68315,Lung Cancer,True,56,0.03571428571428571
ERX11662375,20,1,PRJEB68315,Lung Cancer,True,56,0.017857142857142856
ERX11662375,21,1,PRJEB68315,Lung Cancer,True,56,0.017857142857142856
ERX11662375,24,2,PRJEB68315,Lung Cancer,True,56,0.03571428571428571
ERX11662375,26,9,PRJEB68315,Lung Cancer,True,56,0.16071428571428573
ERX11662375,34,2,PRJEB68315,Lung Cancer,True,56,0.03571428571428571
ERX11662375,43,1,PRJEB68315,Lung Cancer,True,56,0.017857142857142856
ERX11662375,44,10,PRJEB68315,Lung Cancer,True,56,0.17857142857142858
ERX11662375,45,1,PRJEB68315,Lung Cancer,True,56,0.017857142857142856
ERX11662375,6,1,PRJEB68315,Lung Cancer,True,56,0.017857142857142856
ERX11662375,9,26,PRJEB68315,Lung Cancer,True,56,0.4642857142857143
ERX11662377,1,13,PRJEB68315,Lung Cancer,True,289,0.04498269896193772
ERX11662377,13,1,PRJEB68315,Lung Cancer,True,289,0.0034602076124567475
ERX11662377,20,21,PRJEB68315,Lung Cancer,True,289,0.0726643598615917
ERX11662377,21,1,PRJEB68315,Lung Cancer,True,289,0.0034602076124567475
ERX11662377,23,2,PRJEB68315,Lung Cancer,True,289,0.006920415224913495
ERX11662377,24,71,PRJEB68315,Lung Cancer,True,289,0.24567474048442905
ERX11662377,26,96,PRJEB68315,Lung Cancer,True,289,0.33217993079584773
ERX11662377,3,1,PRJEB68315,Lung Cancer,True,289,0.0034602076124567475
ERX11662377,34,10,PRJEB68315,Lung Cancer,True,289,0.03460207612456748
ERX11662377,35,1,PRJEB68315,Lung Cancer,True,289,0.0034602076124567475
ERX11662377,4,6,PRJEB68315,Lung Cancer,True,289,0.020761245674740483
ERX11662377,43,8,PRJEB68315,Lung Cancer,True,289,0.02768166089965398
ERX11662377,44,9,PRJEB68315,Lung Cancer,True,289,0.031141868512110725
ERX11662377,5,16,PRJEB68315,Lung Cancer,True,289,0.05536332179930796
ERX11662377,9,33,PRJEB68315,Lung Cancer,True,289,0.11418685121107267
ERX11662378,1,34,PRJEB68315,Lung Cancer,False,314,0.10828025477707007
ERX11662378,13,3,PRJEB68315,Lung Cancer,False,314,0.009554140127388535
ERX11662378,14,2,PRJEB68315,Lung Cancer,False,314,0.006369426751592357
ERX11662378,17,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,20,7,PRJEB68315,Lung Cancer,False,314,0.022292993630573247
ERX11662378,21,5,PRJEB68315,Lung Cancer,False,314,0.01592356687898089
ERX11662378,23,62,PRJEB68315,Lung Cancer,False,314,0.19745222929936307
ERX11662378,24,47,PRJEB68315,Lung Cancer,False,314,0.14968152866242038
ERX11662378,26,13,PRJEB68315,Lung Cancer,False,314,0.041401273885350316
ERX11662378,3,40,PRJEB68315,Lung Cancer,False,314,0.12738853503184713
ERX11662378,31,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,34,3,PRJEB68315,Lung Cancer,False,314,0.009554140127388535
ERX11662378,39,8,PRJEB68315,Lung Cancer,False,314,0.025477707006369428
ERX11662378,4,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,43,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,45,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,5,64,PRJEB68315,Lung Cancer,False,314,0.20382165605095542
ERX11662378,59,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,6,17,PRJEB68315,Lung Cancer,False,314,0.054140127388535034
ERX11662378,8,1,PRJEB68315,Lung Cancer,False,314,0.0031847133757961785
ERX11662378,9,2,PRJEB68315,Lung Cancer,False,314,0.006369426751592357
ERX11662382,1,6,PRJEB68315,Lung Cancer,False,13,0.46153846153846156
ERX11662382,24,1,PRJEB68315,Lung Cancer,False,13,0.07692307692307693
ERX11662382,38,2,PRJEB68315,Lung Cancer,False,13,0.15384615384615385
ERX11662382,4,4,PRJEB68315,Lung Cancer,False,13,0.3076923076923077
ERX11662384,1,8,PRJEB68315,Lung Cancer,False,28,0.2857142857142857
ERX11662384,24,4,PRJEB68315,Lung Cancer,False,28,0.14285714285714285
ERX11662384,26,1,PRJEB68315,Lung Cancer,False,28,0.03571428571428571
ERX11662384,4,10,PRJEB68315,Lung Cancer,False,28,0.35714285714285715
ERX11662384,5,1,PRJEB68315,Lung Cancer,False,28,0.03571428571428571
ERX11662384,9,4,PRJEB68315,Lung Cancer,False,28,0.14285714285714285
ERX11876748,14,42,PRJEB71931,Lung Cancer,True,85,0.49411764705882355
ERX11876748,17,1,PRJEB71931,Lung Cancer,True,85,0.011764705882352941
ERX11876748,20,15,PRJEB71931,Lung Cancer,True,85,0.17647058823529413
ERX11876748,23,1,PRJEB71931,Lung Cancer,True,85,0.011764705882352941
ERX11876748,36,3,PRJEB71931,Lung Cancer,True,85,0.03529411764705882
ERX11876748,59,1,PRJEB71931,Lung Cancer,True,85,0.011764705882352941
ERX11876748,60,21,PRJEB71931,Lung Cancer,True,85,0.24705882352941178
ERX11876748,8,1,PRJEB71931,Lung Cancer,True,85,0.011764705882352941
ERX11876750,0,1,PRJEB71931,Lung Cancer,True,60,0.016666666666666666
ERX11876750,14,21,PRJEB71931,Lung Cancer,True,60,0.35
ERX11876750,17,2,PRJEB71931,Lung Cancer,True,60,0.03333333333333333
ERX11876750,20,2,PRJEB71931,Lung Cancer,True,60,0.03333333333333333
ERX11876750,36,8,PRJEB71931,Lung Cancer,True,60,0.13333333333333333
ERX11876750,60,26,PRJEB71931,Lung Cancer,True,60,0.43333333333333335
ERX11876751,14,20,PRJEB71931,Lung Cancer,True,48,0.4166666666666667
ERX11876751,17,2,PRJEB71931,Lung Cancer,True,48,0.041666666666666664
ERX11876751,33,1,PRJEB71931,Lung Cancer,True,48,0.020833333333333332
ERX11876751,36,4,PRJEB71931,Lung Cancer,True,48,0.08333333333333333
ERX11876751,52,1,PRJEB71931,Lung Cancer,True,48,0.020833333333333332
ERX11876751,60,20,PRJEB71931,Lung Cancer,True,48,0.4166666666666667
ERX11876752,13,1,PRJEB71931,Lung Cancer,True,67,0.014925373134328358
ERX11876752,14,15,PRJEB71931,Lung Cancer,True,67,0.22388059701492538
ERX11876752,17,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876752,20,3,PRJEB71931,Lung Cancer,True,67,0.04477611940298507
ERX11876752,21,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876752,33,1,PRJEB71931,Lung Cancer,True,67,0.014925373134328358
ERX11876752,34,4,PRJEB71931,Lung Cancer,True,67,0.05970149253731343
ERX11876752,36,13,PRJEB71931,Lung Cancer,True,67,0.19402985074626866
ERX11876752,60,26,PRJEB71931,Lung Cancer,True,67,0.3880597014925373
ERX11876753,14,13,PRJEB71931,Lung Cancer,True,35,0.37142857142857144
ERX11876753,20,1,PRJEB71931,Lung Cancer,True,35,0.02857142857142857
ERX11876753,33,3,PRJEB71931,Lung Cancer,True,35,0.08571428571428572
ERX11876753,36,2,PRJEB71931,Lung Cancer,True,35,0.05714285714285714
ERX11876753,60,16,PRJEB71931,Lung Cancer,True,35,0.45714285714285713
ERX11876754,0,3,PRJEB71931,Lung Cancer,True,69,0.043478260869565216
ERX11876754,1,1,PRJEB71931,Lung Cancer,True,69,0.014492753623188406
ERX11876754,14,12,PRJEB71931,Lung Cancer,True,69,0.17391304347826086
ERX11876754,17,1,PRJEB71931,Lung Cancer,True,69,0.014492753623188406
ERX11876754,20,4,PRJEB71931,Lung Cancer,True,69,0.057971014492753624
ERX11876754,21,3,PRJEB71931,Lung Cancer,True,69,0.043478260869565216
ERX11876754,34,3,PRJEB71931,Lung Cancer,True,69,0.043478260869565216
ERX11876754,36,23,PRJEB71931,Lung Cancer,True,69,0.3333333333333333
ERX11876754,4,1,PRJEB71931,Lung Cancer,True,69,0.014492753623188406
ERX11876754,60,14,PRJEB71931,Lung Cancer,True,69,0.2028985507246377
ERX11876754,8,4,PRJEB71931,Lung Cancer,True,69,0.057971014492753624
ERX11876755,13,1,PRJEB71931,Lung Cancer,False,63,0.015873015873015872
ERX11876755,14,29,PRJEB71931,Lung Cancer,False,63,0.4603174603174603
ERX11876755,20,3,PRJEB71931,Lung Cancer,False,63,0.047619047619047616
ERX11876755,23,1,PRJEB71931,Lung Cancer,False,63,0.015873015873015872
ERX11876755,32,3,PRJEB71931,Lung Cancer,False,63,0.047619047619047616
ERX11876755,34,2,PRJEB71931,Lung Cancer,False,63,0.031746031746031744
ERX11876755,36,11,PRJEB71931,Lung Cancer,False,63,0.1746031746031746
ERX11876755,44,1,PRJEB71931,Lung Cancer,False,63,0.015873015873015872
ERX11876755,45,2,PRJEB71931,Lung Cancer,False,63,0.031746031746031744
ERX11876755,52,1,PRJEB71931,Lung Cancer,False,63,0.015873015873015872
ERX11876755,59,5,PRJEB71931,Lung Cancer,False,63,0.07936507936507936
ERX11876755,60,1,PRJEB71931,Lung Cancer,False,63,0.015873015873015872
ERX11876755,8,3,PRJEB71931,Lung Cancer,False,63,0.047619047619047616
ERX11876756,0,2,PRJEB71931,Lung Cancer,True,57,0.03508771929824561
ERX11876756,14,22,PRJEB71931,Lung Cancer,True,57,0.38596491228070173
ERX11876756,20,2,PRJEB71931,Lung Cancer,True,57,0.03508771929824561
ERX11876756,36,18,PRJEB71931,Lung Cancer,True,57,0.3157894736842105
ERX11876756,6,1,PRJEB71931,Lung Cancer,True,57,0.017543859649122806
ERX11876756,60,11,PRJEB71931,Lung Cancer,True,57,0.19298245614035087
ERX11876756,8,1,PRJEB71931,Lung Cancer,True,57,0.017543859649122806
ERX11876757,14,26,PRJEB71931,Lung Cancer,True,56,0.4642857142857143
ERX11876757,17,3,PRJEB71931,Lung Cancer,True,56,0.05357142857142857
ERX11876757,20,1,PRJEB71931,Lung Cancer,True,56,0.017857142857142856
ERX11876757,23,4,PRJEB71931,Lung Cancer,True,56,0.07142857142857142
ERX11876757,24,1,PRJEB71931,Lung Cancer,True,56,0.017857142857142856
ERX11876757,26,2,PRJEB71931,Lung Cancer,True,56,0.03571428571428571
ERX11876757,33,1,PRJEB71931,Lung Cancer,True,56,0.017857142857142856
ERX11876757,34,1,PRJEB71931,Lung Cancer,True,56,0.017857142857142856
ERX11876757,36,3,PRJEB71931,Lung Cancer,True,56,0.05357142857142857
ERX11876757,4,3,PRJEB71931,Lung Cancer,True,56,0.05357142857142857
ERX11876757,60,10,PRJEB71931,Lung Cancer,True,56,0.17857142857142858
ERX11876757,9,1,PRJEB71931,Lung Cancer,True,56,0.017857142857142856
ERX11876758,13,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876758,14,10,PRJEB71931,Lung Cancer,True,67,0.14925373134328357
ERX11876758,17,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876758,20,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876758,23,4,PRJEB71931,Lung Cancer,True,67,0.05970149253731343
ERX11876758,26,4,PRJEB71931,Lung Cancer,True,67,0.05970149253731343
ERX11876758,33,2,PRJEB71931,Lung Cancer,True,67,0.029850746268656716
ERX11876758,36,28,PRJEB71931,Lung Cancer,True,67,0.417910447761194
ERX11876758,59,1,PRJEB71931,Lung Cancer,True,67,0.014925373134328358
ERX11876758,60,10,PRJEB71931,Lung Cancer,True,67,0.14925373134328357
ERX11876758,8,1,PRJEB71931,Lung Cancer,True,67,0.014925373134328358
ERX11876758,9,1,PRJEB71931,Lung Cancer,True,67,0.014925373134328358
ERX11876759,14,13,PRJEB71931,Lung Cancer,True,43,0.3023255813953488
ERX11876759,17,6,PRJEB71931,Lung Cancer,True,43,0.13953488372093023
ERX11876759,20,3,PRJEB71931,Lung Cancer,True,43,0.06976744186046512
ERX11876759,52,1,PRJEB71931,Lung Cancer,True,43,0.023255813953488372
ERX11876759,60,20,PRJEB71931,Lung Cancer,True,43,0.46511627906976744
ERX11876760,13,1,PRJEB71931,Lung Cancer,False,40,0.025
ERX11876760,14,1,PRJEB71931,Lung Cancer,False,40,0.025
ERX11876760,17,6,PRJEB71931,Lung Cancer,False,40,0.15
ERX11876760,21,1,PRJEB71931,Lung Cancer,False,40,0.025
ERX11876760,32,3,PRJEB71931,Lung Cancer,False,40,0.075
ERX11876760,34,4,PRJEB71931,Lung Cancer,False,40,0.1
ERX11876760,36,14,PRJEB71931,Lung Cancer,False,40,0.35
ERX11876760,4,4,PRJEB71931,Lung Cancer,False,40,0.1
ERX11876760,59,3,PRJEB71931,Lung Cancer,False,40,0.075
ERX11876760,60,3,PRJEB71931,Lung Cancer,False,40,0.075
ERX11876763,1,20,PRJEB71931,Lung Cancer,True,26,0.7692307692307693
ERX11876763,5,6,PRJEB71931,Lung Cancer,True,26,0.23076923076923078
ERX11876764,1,31,PRJEB71931,Lung Cancer,True,44,0.7045454545454546
ERX11876764,24,2,PRJEB71931,Lung Cancer,True,44,0.045454545454545456
ERX11876764,3,1,PRJEB71931,Lung Cancer,True,44,0.022727272727272728
ERX11876764,5,10,PRJEB71931,Lung Cancer,True,44,0.22727272727272727
ERX11876765,1,4,PRJEB71931,Lung Cancer,True,18,0.2222222222222222
ERX11876765,5,9,PRJEB71931,Lung Cancer,True,18,0.5
ERX11876765,6,5,PRJEB71931,Lung Cancer,True,18,0.2777777777777778
ERX11876766,0,2,PRJEB71931,Lung Cancer,True,10,0.2
ERX11876766,21,1,PRJEB71931,Lung Cancer,True,10,0.1
ERX11876766,24,1,PRJEB71931,Lung Cancer,True,10,0.1
ERX11876766,5,5,PRJEB71931,Lung Cancer,True,10,0.5
ERX11876766,6,1,PRJEB71931,Lung Cancer,True,10,0.1
ERX11876767,1,7,PRJEB71931,Lung Cancer,True,23,0.30434782608695654
ERX11876767,4,1,PRJEB71931,Lung Cancer,True,23,0.043478260869565216
ERX11876767,5,7,PRJEB71931,Lung Cancer,True,23,0.30434782608695654
ERX11876767,6,8,PRJEB71931,Lung Cancer,True,23,0.34782608695652173
ERX11876768,14,1,PRJEB71931,Lung Cancer,True,29,0.034482758620689655
ERX11876768,17,1,PRJEB71931,Lung Cancer,True,29,0.034482758620689655
ERX11876768,20,3,PRJEB71931,Lung Cancer,True,29,0.10344827586206896
ERX11876768,21,3,PRJEB71931,Lung Cancer,True,29,0.10344827586206896
ERX11876768,33,18,PRJEB71931,Lung Cancer,True,29,0.6206896551724138
ERX11876768,60,3,PRJEB71931,Lung Cancer,True,29,0.10344827586206896
ERX11876769,14,9,PRJEB71931,Lung Cancer,True,64,0.140625
ERX11876769,17,2,PRJEB71931,Lung Cancer,True,64,0.03125
ERX11876769,20,1,PRJEB71931,Lung Cancer,True,64,0.015625
ERX11876769,21,1,PRJEB71931,Lung Cancer,True,64,0.015625
ERX11876769,36,3,PRJEB71931,Lung Cancer,True,64,0.046875
ERX11876769,60,48,PRJEB71931,Lung Cancer,True,64,0.75
ERX11876770,14,3,PRJEB71931,Lung Cancer,False,28,0.10714285714285714
ERX11876770,20,7,PRJEB71931,Lung Cancer,False,28,0.25
ERX11876770,21,2,PRJEB71931,Lung Cancer,False,28,0.07142857142857142
ERX11876770,24,1,PRJEB71931,Lung Cancer,False,28,0.03571428571428571
ERX11876770,26,2,PRJEB71931,Lung Cancer,False,28,0.07142857142857142
ERX11876770,32,1,PRJEB71931,Lung Cancer,False,28,0.03571428571428571
ERX11876770,36,7,PRJEB71931,Lung Cancer,False,28,0.25
ERX11876770,60,1,PRJEB71931,Lung Cancer,False,28,0.03571428571428571
ERX11876770,8,4,PRJEB71931,Lung Cancer,False,28,0.14285714285714285
ERX11876771,14,23,PRJEB71931,Lung Cancer,True,55,0.41818181818181815
ERX11876771,17,3,PRJEB71931,Lung Cancer,True,55,0.05454545454545454
ERX11876771,20,3,PRJEB71931,Lung Cancer,True,55,0.05454545454545454
ERX11876771,21,2,PRJEB71931,Lung Cancer,True,55,0.03636363636363636
ERX11876771,24,1,PRJEB71931,Lung Cancer,True,55,0.01818181818181818
ERX11876771,36,15,PRJEB71931,Lung Cancer,True,55,0.2727272727272727
ERX11876771,39,1,PRJEB71931,Lung Cancer,True,55,0.01818181818181818
ERX11876771,52,1,PRJEB71931,Lung Cancer,True,55,0.01818181818181818
ERX11876771,59,1,PRJEB71931,Lung Cancer,True,55,0.01818181818181818
ERX11876771,60,5,PRJEB71931,Lung Cancer,True,55,0.09090909090909091
ERX11876772,14,43,PRJEB71931,Lung Cancer,True,72,0.5972222222222222
ERX11876772,17,2,PRJEB71931,Lung Cancer,True,72,0.027777777777777776
ERX11876772,20,1,PRJEB71931,Lung Cancer,True,72,0.013888888888888888
ERX11876772,32,1,PRJEB71931,Lung Cancer,True,72,0.013888888888888888
ERX11876772,33,3,PRJEB71931,Lung Cancer,True,72,0.041666666666666664
ERX11876772,36,4,PRJEB71931,Lung Cancer,True,72,0.05555555555555555
ERX11876772,59,1,PRJEB71931,Lung Cancer,True,72,0.013888888888888888
ERX11876772,60,17,PRJEB71931,Lung Cancer,True,72,0.2361111111111111
ERX8831396,17,31,PRJEB51720,Lung Cancer,True,50,0.62
ERX8831396,20,2,PRJEB51720,Lung Cancer,True,50,0.04
ERX8831396,21,2,PRJEB51720,Lung Cancer,True,50,0.04
ERX8831396,23,1,PRJEB51720,Lung Cancer,True,50,0.02
ERX8831396,31,12,PRJEB51720,Lung Cancer,True,50,0.24
ERX8831396,52,2,PRJEB51720,Lung Cancer,True,50,0.04
SRX10048373,0,14,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.109375
SRX10048373,1,9,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0703125
SRX10048373,13,4,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.03125
SRX10048373,14,30,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.234375
SRX10048373,20,12,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.09375
SRX10048373,21,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0390625
SRX10048373,24,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0234375
SRX10048373,26,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0390625
SRX10048373,34,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0234375
SRX10048373,36,23,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.1796875
SRX10048373,43,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0078125
SRX10048373,45,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0078125
SRX10048373,52,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0078125
SRX10048373,59,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0234375
SRX10048373,6,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.015625
SRX10048373,60,10,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.078125
SRX10048373,8,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0078125
SRX10048373,9,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,128,0.0078125
SRX10048375,0,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.014184397163120567
SRX10048375,1,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.0070921985815602835
SRX10048375,13,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.0070921985815602835
SRX10048375,14,57,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.40425531914893614
SRX10048375,20,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.0070921985815602835
SRX10048375,26,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.03546099290780142
SRX10048375,34,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.02127659574468085
SRX10048375,36,17,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.12056737588652482
SRX10048375,4,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.0070921985815602835
SRX10048375,45,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.0070921985815602835
SRX10048375,52,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.014184397163120567
SRX10048375,60,50,PRJNA669824,IPF / Pulmonary Fibrosis,True,141,0.3546099290780142
SRX10048376,0,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.037037037037037035
SRX10048376,1,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.09259259259259259
SRX10048376,13,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.018518518518518517
SRX10048376,14,9,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.16666666666666666
SRX10048376,20,6,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.1111111111111111
SRX10048376,21,3,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.05555555555555555
SRX10048376,26,5,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.09259259259259259
SRX10048376,34,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.037037037037037035
SRX10048376,36,7,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.12962962962962962
SRX10048376,38,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.037037037037037035
SRX10048376,43,2,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.037037037037037035
SRX10048376,44,1,PRJNA669824,IPF / Pulmonary Fibrosis,True,54,0.018518518518518517
