scope,studyAccession,nCells,nClusters,nLabels,nmi,ari,homogeneity,completeness,vMeasure
study,PRJNA1086544,464,10,4,0.47991704248199907,0.361636724365358,0.7482411995529223,0.3532421218299448,0.479917042481999
study,PRJNA1092571,123,22,17,0.7585774087612184,0.5575650253382605,0.7848824441083714,0.7339784029131385,0.7585774087612184
study,PRJNA1102355,398,25,24,0.44134386995814606,0.38562874458903534,0.4551159910110399,0.42838077482600195,0.44134386995814606
study,PRJNA1108287,791,21,15,0.5302777280274643,0.3525951555225939,0.7757583311711944,0.4028120663337174,0.5302777280274643
study,PRJNA1117768,69,16,12,0.7356608717534298,0.5388280096670123,0.8616078819694022,0.6418389606238272,0.7356608717534298
study,PRJNA1121368,647,19,17,0.6687230782246278,0.5586885059193153,0.7366483910372124,0.6122668156646447,0.6687230782246278
study,PRJNA1127657,346,23,19,0.6895785489654938,0.5748565955679845,0.7242826224058204,0.6580481087915814,0.6895785489654938
study,PRJNA1135480,346,9,4,0.42749262686533984,0.3539274581903249,0.6504435466992836,0.31836682170633673,0.42749262686533984
study,PRJNA1135481,545,9,6,0.39958792691630884,0.30764729940873176,0.46781081637169425,0.3487309702186788,0.39958792691630896
study,PRJNA1136930,58,10,12,0.7048900413177809,0.7386098088450876,0.6402397218049191,0.7840634350793041,0.7048900413177808
study,PRJNA1149046,480,9,7,0.3345638636446596,0.2253627624953608,0.4088028071425262,0.2831445655475174,0.3345638636446596
study,PRJNA1172658,1728,26,23,0.5594164703093244,0.3477579213939347,0.5751594432373461,0.5445123539837881,0.5594164703093244
study,PRJNA1177414,1602,29,25,0.5196724914963867,0.457865140618883,0.589437786591674,0.4646741067355503,0.5196724914963867
study,PRJNA1186577,60,7,2,0.12144810129777624,0.05412205254227371,0.616241383177617,0.06736184592779247,0.12144810129777625
study,PRJNA1202516,22,12,7,0.7544815092756613,0.3201672862453532,0.9099850061643616,0.6443681549841351,0.7544815092756614
study,PRJNA1208088,6977,30,26,0.30187329732219775,0.18137938583883156,0.3300514581259937,0.27812809629797947,0.30187329732219775
study,PRJNA1272602,411,14,10,0.5171739280013959,0.4062516185113337,0.5932389513301743,0.4583981723090627,0.5171739280013959
study,PRJNA554141,82,10,6,0.4781447051414544,0.21987961643965512,0.7656455614755717,0.34761488530339896,0.4781447051414544
study,PRJNA563828,3380,29,26,0.5706844631589524,0.424901940869662,0.6296561250438998,0.521813052734906,0.5706844631589524
study,PRJNA613670,124,17,10,0.46109546384520517,0.2299627699180938,0.6032891844496249,0.3731459225298115,0.46109546384520517
study,PRJNA633134,359,23,20,0.7173254244581998,0.629570270421646,0.7898934554278425,0.6569692294994789,0.7173254244581997
study,PRJNA634136,261,9,6,0.1086817322280761,0.000799944215815835,0.1206785678773991,0.09885446323197047,0.1086817322280761
study,PRJNA634159,540,23,22,0.4819936246765876,0.2684332905395337,0.5761617351582107,0.4142830353373059,0.48199362467658763
study,PRJNA657422,101,16,17,0.7671174322689547,0.4918800000680233,0.8468924369041327,0.7010777788056515,0.7671174322689546
study,PRJNA661032,560,16,11,0.5255024540525082,0.495966526604727,0.6484751849060727,0.4417346837015395,0.5255024540525082
study,PRJNA661081,29,12,9,0.7167009744725945,0.37334933973589435,0.7420855206452658,0.6929956473659232,0.7167009744725945
study,PRJNA661567,82,8,5,0.432834101627765,0.2561401337557996,0.6166092555682866,0.3334516639986191,0.432834101627765
study,PRJNA663601,392,18,14,0.4759578079186834,0.3640018411717349,0.5080911215254547,0.4476471642105752,0.47595780791868336
study,PRJNA667491,978,10,5,0.4555090387589206,0.3526338439705179,0.6415029021204194,0.35312569486087664,0.4555090387589207
study,PRJNA668609,795,25,23,0.7375032349741232,0.5502683357220767,0.7434587729543387,0.7316423533998938,0.7375032349741234
study,PRJNA669824,1794,29,26,0.5660402703741104,0.35295674851104014,0.5649568034219447,0.567127901029578,0.5660402703741103
study,PRJNA675538,239,9,4,0.21658461224275768,0.08040595615248528,0.3818641205893172,0.15115938140065918,0.21658461224275766
study,PRJNA691041,47,3,2,0.1661161703675064,0.1355467720685112,0.6054202034904341,0.09626471957132068,0.16611617036750642
study,PRJNA692173,131,8,3,0.21626382677112654,0.1418645637423266,0.4861683512820942,0.1390614998494565,0.21626382677112654
study,PRJNA694436,156,14,9,0.5451098682777806,0.4273232656851091,0.634962857474017,0.4775344264188115,0.5451098682777806
study,PRJNA701396,65,10,6,0.43484872999634644,0.24775839299367486,0.6120669454817294,0.3372121345716813,0.43484872999634644
study,PRJNA701930,744,10,7,0.3602818736260215,0.31205546991269884,0.4391629550259195,0.30542278481867147,0.3602818736260215
study,PRJNA704098,58,16,14,0.8676620996766591,0.7755399669216794,0.9168960592566915,0.8234460625887707,0.867662099676659
study,PRJNA713903,129,9,4,0.6160426395871428,0.5323170994110082,0.7758097612635565,0.5108419220924018,0.6160426395871427
study,PRJNA714138,70,7,3,0.17675823506894414,0.041935902145959845,0.20683627655418535,0.15431745744411124,0.17675823506894417
study,PRJNA716656,45,10,12,0.8210022511239269,0.5464815634390068,0.8029846818119301,0.8398469450345042,0.821002251123927
study,PRJNA746455,256,23,22,0.6617535056253724,0.4638562026632659,0.6828831363725273,0.6418922078300124,0.6617535056253725
study,PRJNA759630,540,21,17,0.6026014946207652,0.5162783316162356,0.5730202955509319,0.63540309996639,0.6026014946207653
study,PRJNA762558,73,7,3,0.31642432877546645,0.1563754718225443,0.8793154692344471,0.19292437384789096,0.3164243287754664
study,PRJNA768255,286,10,6,0.39947831734120814,0.2505706796341771,0.6569571198039404,0.2869967357954146,0.3994783173412081
study,PRJNA769143,769,8,8,0.10611292790524432,0.041980808289265016,0.1235789639922932,0.09297263773506574,0.10611292790524432
study,PRJNA773094,13,4,5,0.616016680957127,0.29266281945589445,0.5602562237761975,0.684103222085241,0.6160166809571269
study,PRJNA773987,1052,25,25,0.6734481878137866,0.5449513813898075,0.6827409159240548,0.6644050279043587,0.6734481878137866
study,PRJNA782639,1029,28,24,0.620708468727885,0.49422965991321277,0.6822227796049551,0.5693698247393073,0.620708468727885
study,PRJNA789499,66,6,3,0.5376331375164863,0.31025115041303986,0.8465477476978089,0.3938961044890201,0.5376331375164864
study,PRJNA797244,393,8,4,0.24833979836708425,0.12926289995591442,0.5085404739621101,0.164282657222144,0.24833979836708428
