position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
2/5,SRX12366723,success,deleteme/SRX12366723_clustered.h5ad,2026-05-19 14:55:54,,0.1,15,52.219873666763306,6,6,0,11,6,43,3989,1.232070415270954
1/5,SRX22996378,success,deleteme/SRX22996378_clustered.h5ad,2026-05-19 14:56:01,,1.5,15,54.561835527420044,24,20,4,26,20,92,3321,10.503516798205709
3/5,SRX17412841,success,deleteme/SRX17412841_clustered.h5ad,2026-05-19 14:56:51,,1.5,18,50.414133816957474,19,17,2,26,14,749,4757,4.594492293420035
4/5,SRX24313469,success,deleteme/SRX24313469_clustered.h5ad,2026-05-19 14:58:43,,0.6,50,29.172638058662415,7,7,0,11,8,376,7280,1.4557869791540856
5/5,SRX13198730,success,deleteme/SRX13198730_clustered.h5ad,2026-05-19 14:58:59,,1.0,19,50.410302728414536,19,17,2,27,22,447,8972,7.059382342610416
